Prev_start_date,Prev_expiry_date,New_drop_date,CnAdrPrf_ZIP,CnAttrCat_1_01_Comments,CnAttrCat_2_01_Comments,CnAttrCat_4_01_Description,CnAttrCat_5_01_Description,CnBio_Age,CnBio_Constit_Code,CnBio_ID,CnBio_Import_ID,CnMem_1_01_Consecutive_Years,CnMem_1_01_Cur_Category_description,CnMem_1_01_Cur_Expires_on,CnMem_1_01_Date_Joined,CnMem_1_01_Last_Dropped_Date,CnMem_1_01_Standing,Number_of_Records
8/1/12 0:00,8/1/13 0:00,7/31/14 0:00,60137-4013,,,,,,Individuals,6280,19940105_PM_006280,0,Morton 4,,11/30/92,8/1/14,Dropped,1
1/1/12 0:00,1/1/13 0:00,12/31/13 0:00,60201,,,,,,Individuals,137435,01894-593-0000088258,0,Morton 4,,11/2/04,1/1/14,Dropped,1
6/1/12 0:00,6/1/13 0:00,5/31/14 0:00,60565,,,,,77,Individuals,137107,01894-593-0000087673,0,Morton 2,,10/16/04,6/1/14,Dropped,1
6/1/12 0:00,6/1/13 0:00,5/31/14 0:00,60137,,,Recipient,Donor,86,Individuals,2336,19931201_CG_002336,0,2 YR Morton 2,,12/8/05,6/1/14,Dropped,1
10/1/12 0:00,10/1/13 0:00,9/30/14 0:00,60559,,,,,50,Individuals,145691,01894-593-0000102646,0,2 YR Morton 1,,11/11/05,10/1/14,Dropped,1
7/1/12 0:00,7/1/13 0:00,6/30/14 0:00,60137-4706,,,,Donor,66,Individuals,9642,19940202_EJ_009642,0,Partner,,2/28/94,7/1/14,Dropped,1
10/1/12 0:00,10/1/13 0:00,9/30/14 0:00,60563-1105,,,,,,Individuals,137814,01894-593-0000088893,0,Morton 4,,12/14/04,10/1/14,Dropped,1
5/1/12 0:00,5/1/13 0:00,4/30/14 0:00,60187-4075,,,,,74,Individuals,6649,19940107_PZ_006649,0,Morton 1,,1/31/94,5/1/14,Dropped,1
6/1/12 0:00,6/1/13 0:00,5/31/14 0:00,60517-7132,,,,,71,Individuals,105135,01894-079-0035829,0,2 YR Morton 1,,11/6/97,6/1/14,Dropped,1
1/1/12 0:00,1/1/13 0:00,12/31/13 0:00,60491-8676,,,,Donor,58,Individuals,108465,01894-079-0040609,0,Morton 4,,8/27/98,1/1/14,Dropped,1
2/1/12 0:00,2/1/13 0:00,1/31/14 0:00,60532,,,,,,Individuals,145844,01894-593-0000102912,0,Morton 4,,11/23/05,2/1/14,Dropped,1
8/1/12 0:00,8/1/13 0:00,7/31/14 0:00,60181-2550,,,,,,Individuals,125868,01894-079-0065877,0,Morton 2,,4/18/02,8/1/14,Dropped,1
1/1/12 0:00,1/1/13 0:00,12/31/13 0:00,60540,,,,,65,Individuals,4025,19931215_PH_004025,0,2 YR Morton 1,,1/31/93,1/1/14,Dropped,1
4/1/12 0:00,4/1/13 0:00,3/31/14 0:00,60521-4710,,,,,83,Individuals,833,19931111_BB_000833,0,2 YR Morton 2,,1/31/85,4/1/14,Dropped,1
5/1/12 0:00,5/1/13 0:00,4/30/14 0:00,60189,,,,,41,Individuals,111700,01894-079-0045056,0,2 YR Morton 4,,6/1/99,5/1/14,Dropped,1
8/1/12 0:00,8/1/13 0:00,7/31/14 0:00,60515-3323,,,,,97,Individuals,3592,19931213_MD_003592,0,Morton 2,,12/31/93,8/1/14,Dropped,1
9/1/12 0:00,9/1/13 0:00,8/31/14 0:00,60139,,,,,,Individuals,131836,01894-079-0077081,0,2 YR Morton 4,,10/12/03,9/1/14,Dropped,1
6/1/12 0:00,6/1/13 0:00,5/31/14 0:00,60126,,,,,51,Individuals,118954,01894-079-0054242,0,Morton 2,,10/3/00,6/1/14,Dropped,1
7/1/12 0:00,7/1/13 0:00,6/30/14 0:00,60404,,,,,72,Individuals,144730,01894-593-0000100936,0,Morton 2,,11/7/05,7/1/14,Dropped,1
4/1/12 0:00,4/1/13 0:00,3/31/14 0:00,60440,,,,,67,Individuals,130998,01894-079-0074780,0,Morton 4,,7/7/03,4/1/14,Dropped,1
8/1/12 0:00,8/1/13 0:00,7/31/14 0:00,60137,,,,,44,Individuals,125283,01894-079-0065031,0,Morton 4,,3/23/02,8/1/14,Dropped,1
4/1/12 0:00,4/1/13 0:00,3/31/14 0:00,60453,,,,,65,Employee,125332,01894-079-0065104,0,Morton 6,,3/26/02,4/1/14,Dropped,1
9/1/12 0:00,9/1/13 0:00,8/31/14 0:00,60018,,,,,,Individuals,145700,01894-593-0000102667,0,Morton 6,,11/11/05,9/1/14,Dropped,1
8/1/12 0:00,8/1/13 0:00,7/31/14 0:00,60137-8505,,,,,84,Individuals,5235,19931228_ME_005235,0,Morton 2,,5/31/93,8/1/14,Dropped,1
7/1/12 0:00,7/1/13 0:00,6/30/14 0:00,60615,,,,,73,Individuals,151,19931101_AA_000151,0,Morton 2,,10/31/93,7/1/14,Dropped,1
4/1/12 0:00,4/1/13 0:00,3/31/14 0:00,60137,,,Recipient,,95,Individuals,114168,01894-079-0048353,0,Morton 1,,12/23/99,4/1/14,Dropped,1
1/1/12 0:00,1/1/13 0:00,12/31/13 0:00,60126,,,,,47,Individuals,145794,01894-593-0000102826,0,Morton 2,,11/19/05,1/1/14,Dropped,1
5/1/12 0:00,5/1/13 0:00,4/30/14 0:00,60523-2620,,,,,64,Individuals,15904,19950801_DM_015904,0,Morton 1,,8/31/95,5/1/14,Dropped,1
4/1/12 0:00,4/1/13 0:00,3/31/14 0:00,60540-8142,,,,,56,Individuals,16006,19950825_MR_016006,0,Morton 4,,8/31/95,4/1/14,Dropped,1
4/1/12 0:00,4/1/13 0:00,3/31/14 0:00,60532,,,,,,Individuals,137365,01894-593-0000088127,0,Morton 2,,10/28/04,4/1/14,Dropped,1
4/1/12 0:00,4/1/13 0:00,3/31/14 0:00,60137-4606,,,,,56,Individuals,110011,01894-079-0042776,0,2 YR Morton 2,,1/8/99,4/1/14,Dropped,1
7/1/12 0:00,7/1/13 0:00,6/30/14 0:00,60124,,,,,,Individuals,137601,01894-593-0000088570,0,Morton 1,,11/19/04,7/1/14,Dropped,1
4/1/12 0:00,4/1/13 0:00,3/31/14 0:00,60184-0764,,,,,67,Individuals,6410,19940105_JM_006410,0,2 YR Morton 2,,1/31/93,4/1/14,Dropped,1
6/1/12 0:00,6/1/13 0:00,5/31/14 0:00,60126,,,,,,Individuals,137772,01894-593-0000088836,0,Morton 1,,12/12/04,6/1/14,Dropped,1
8/1/12 0:00,8/1/13 0:00,7/31/14 0:00,60148,,,Recipient,,58,Individuals,385,19931103_MB_000385,0,Morton 2,,9/30/93,8/1/14,Dropped,1
2/1/12 0:00,2/1/13 0:00,1/31/14 0:00,60510,,,,,,Individuals,146211,01894-593-0000103512,0,Morton 4,,12/9/05,2/1/14,Dropped,1
4/1/12 0:00,4/1/13 0:00,3/31/14 0:00,60190,,,Recipient,,57,Individuals,114019,01894-079-0048148,0,Morton 4,,12/13/99,4/1/14,Dropped,1
9/1/12 0:00,9/1/13 0:00,8/31/14 0:00,60137,,,,,39,Individuals,133233,01894-593-0000080520,0,Morton 4,,2/22/04,9/1/14,Dropped,1
8/1/12 0:00,8/1/13 0:00,7/31/14 0:00,60516-1979,,,,,53,Volunteers,112590,01894-079-0046243,0,Morton 6,,9/9/99,8/1/14,Dropped,1
2/1/12 0:00,2/1/13 0:00,1/31/14 0:00,60172,,,,,74,Individuals,18516,19960604_EP_018516,0,Morton 2,,5/31/96,2/1/14,Dropped,1
7/1/12 0:00,7/1/13 0:00,6/30/14 0:00,60101-1896,,,,,68,Individuals,120810,01894-079-0057439,0,Morton 6,,3/11/01,7/1/14,Dropped,1
6/1/12 0:00,6/1/13 0:00,5/31/14 0:00,60402-1422,,,,,87,Individuals,6266,19940105_PM_006266,0,Morton 2,,3/31/93,6/1/14,Dropped,1
8/1/12 0:00,8/1/13 0:00,7/31/14 0:00,60565,,,,,75,Individuals,114362,01894-079-0048683,0,Morton 2,,1/14/00,8/1/14,Dropped,1
8/1/12 0:00,8/1/13 0:00,7/31/14 0:00,60540-8127,,,,,68,Individuals,113191,01894-079-0047010,0,Morton 6,,10/15/99,8/1/14,Dropped,1
8/1/12 0:00,8/1/13 0:00,7/31/14 0:00,85248,,,,,69,Individuals,138295,01894-593-0000089661,0,Morton 2,,2/5/05,8/1/14,Dropped,1
6/1/12 0:00,6/1/13 0:00,5/31/14 0:00,60563,,,,,,Individuals,129516,01894-079-0072077,0,Morton 2,,3/16/03,6/1/14,Dropped,1
9/1/12 0:00,9/1/13 0:00,8/31/14 0:00,60187-5322,,,,,56,Individuals,2403,19931201_AG_002403,0,Morton 2,,6/30/93,9/1/14,Dropped,1
10/1/12 0:00,10/1/13 0:00,9/30/14 0:00,60642-5555,,,,,,Individuals,129369,01894-079-0071777,0,2 YR Morton 1,,2/19/03,10/1/14,Dropped,1
7/1/12 0:00,7/1/13 0:00,6/30/14 0:00,60304,,,,,60,Individuals,14922,19950502_WJ_014922,0,Morton 2,,4/30/95,7/1/14,Dropped,1
1/1/12 0:00,1/1/13 0:00,12/31/13 0:00,60137-7356,,,,,47,Individuals,138485,01894-593-0000089976,0,Morton 2,,2/27/05,1/1/14,Dropped,1
8/1/12 0:00,8/1/13 0:00,7/31/14 0:00,60440,,,,,51,Individuals,138486,01894-593-0000089978,0,Morton 1,,2/27/05,8/1/14,Dropped,1
7/1/12 0:00,7/1/13 0:00,6/30/14 0:00,60007-2860,,,,,73,Individuals,129869,01894-079-0072662,0,Morton 4,,4/16/03,7/1/14,Dropped,1
9/1/12 0:00,9/1/13 0:00,8/31/14 0:00,60515-5356,,,,,50,Individuals,125682,01894-079-0065579,0,Morton 6,,4/9/02,9/1/14,Dropped,1
4/1/12 0:00,4/1/13 0:00,3/31/14 0:00,60189,,,Recipient,,58,Individuals,7887,19940117_RR_007887,0,Morton 2,,10/31/93,4/1/14,Dropped,1
3/1/12 0:00,3/1/13 0:00,2/28/14 0:00,60187,,,,,55,Individuals,105256,01894-079-0036002,0,Morton 6,,11/17/97,3/1/14,Dropped,1
7/1/12 0:00,7/1/13 0:00,6/30/14 0:00,60189,,,,,55,Individuals,148806,01894-593-0000107977,0,Morton 6,,4/20/06,7/1/14,Dropped,1
8/1/12 0:00,8/1/13 0:00,7/31/14 0:00,60515,,,,,,Individuals,118536,01894-079-0053479,0,Morton 1,,8/20/00,8/1/14,Dropped,1
1/1/12 0:00,1/1/13 0:00,12/31/13 0:00,60517,,,,,,Individuals,139981,01894-593-0000092450,0,Morton 4,,5/25/05,1/1/14,Dropped,1
2/1/12 0:00,2/1/13 0:00,1/31/14 0:00,60565-2449,,,,,64,Individuals,16242,19950926_JC_016242,0,Morton 1,,9/30/95,2/1/14,Dropped,1
7/1/12 0:00,7/1/13 0:00,6/30/14 0:00,60174,,,,,,Individuals,140354,01894-593-0000093104,0,Morton 2,,6/11/05,7/1/14,Dropped,1
8/1/12 0:00,8/1/13 0:00,7/31/14 0:00,60189,,,,,54,Individuals,149189,01894-593-0000108645,0,Morton 4,,4/27/06,8/1/14,Dropped,1
7/1/12 0:00,7/1/13 0:00,6/30/14 0:00,60540,,,,,68,Individuals,149174,01894-593-0000108614,0,Morton 6,,4/28/06,7/1/14,Dropped,1
9/1/12 0:00,9/1/13 0:00,8/31/14 0:00,60187-3374,,,,,75,Individuals,111369,01894-079-0044622,0,Morton 1,,5/10/99,9/1/14,Dropped,1
1/1/12 0:00,1/1/13 0:00,12/31/13 0:00,60532,,,Recipient,,,Individuals,139030,01894-593-0000090896,0,Morton 4,,4/11/05,1/1/14,Dropped,1
10/1/12 0:00,10/1/13 0:00,9/30/14 0:00,60137,,,,,68,Individuals,108644,01894-079-0040878,0,Morton 1,,9/21/98,10/1/14,Dropped,1
1/1/12 0:00,1/1/13 0:00,12/31/13 0:00,60137-5246,,,,,52,Individuals,111633,01894-079-0044973,0,Morton 1,,5/26/99,1/1/14,Dropped,1
10/1/12 0:00,10/1/13 0:00,9/30/14 0:00,60540-7129,,,,Donor,78,Individuals,149269,01894-593-0000108779,0,Morton 2,,5/3/06,10/1/14,Dropped,1
9/1/12 0:00,9/1/13 0:00,8/31/14 0:00,60187,,,,,62,Individuals,103463,01894-079-0032137,0,2 YR Morton 4,,6/6/97,9/1/14,Dropped,1
6/1/12 0:00,6/1/13 0:00,5/31/14 0:00,60647,,,,,43,Individuals,118097,01894-079-0052676,0,Morton 2,,7/4/00,6/1/14,Dropped,1
4/1/12 0:00,4/1/13 0:00,3/31/14 0:00,60462,,,,,,Individuals,146246,01894-593-0000103565,0,2 YR Morton 6,,12/12/05,4/1/14,Dropped,1
2/1/12 0:00,2/1/13 0:00,1/31/14 0:00,60516,,,,,,Individuals,146344,01894-593-0000103732,0,Morton 1,,12/13/05,2/1/14,Dropped,1
4/1/12 0:00,4/1/13 0:00,3/31/14 0:00,60190-1945,,,Recipient,,90,Individuals,8623,19940117_JS_008623,0,Morton 4,,1/31/94,4/1/14,Dropped,1
6/1/12 0:00,6/1/13 0:00,5/31/14 0:00,60515-1418,,,,Donor,64,Individuals,110505,01894-079-0043500,0,2 YR Morton 6,,3/23/99,6/1/14,Dropped,1
7/1/12 0:00,7/1/13 0:00,6/30/14 0:00,60174,,,,,69,Individuals,109430,01894-079-0041948,0,Morton 6,,11/5/98,7/1/14,Dropped,1
9/1/12 0:00,9/1/13 0:00,8/31/14 0:00,60137,,,,,,Individuals,137975,01894-593-0000089142,0,Morton 4,,12/23/04,9/1/14,Dropped,1
6/1/12 0:00,6/1/13 0:00,5/31/14 0:00,60439,,,Recipient,Donor,,Individuals,146654,01894-593-0000104234,0,Morton 4,,12/23/05,6/1/14,Dropped,1
8/1/12 0:00,8/1/13 0:00,7/31/14 0:00,60134,,,,,,Individuals,139679,01894-593-0000091951,0,Morton 1,,5/9/05,8/1/14,Dropped,1
1/1/12 0:00,1/1/13 0:00,12/31/13 0:00,60565,,,,Donor,,Individuals,112880,01894-079-0046610,0,Morton 2,,10/6/99,1/1/14,Dropped,1
5/1/12 0:00,5/1/13 0:00,4/30/14 0:00,60137-6508,,,,,,Individuals,8821,19940215_EZ_008821,0,2 YR Morton 4,,2/28/94,5/1/14,Dropped,1
3/1/12 0:00,3/1/13 0:00,2/28/14 0:00,60101,,,,,71,Individuals,146782,01894-593-0000104450,0,Morton 1,,12/27/05,3/1/14,Dropped,1
6/1/12 0:00,6/1/13 0:00,5/31/14 0:00,60188,,,,,,Individuals,146801,01894-593-0000104483,0,Morton 1,,12/30/05,6/1/14,Dropped,1
1/1/12 0:00,1/1/13 0:00,12/31/13 0:00,60189,,,,,51,Individuals,146830,01894-593-0000104536,0,Morton 4,,1/1/06,1/1/14,Dropped,1
7/1/12 0:00,7/1/13 0:00,6/30/14 0:00,60134,,,,,70,Individuals,105588,01894-079-0036496,0,Morton 2,,12/22/97,7/1/14,Dropped,1
5/1/12 0:00,5/1/13 0:00,4/30/14 0:00,60189-8015,,,,,,Individuals,147015,01894-593-0000104853,0,Morton 1,,1/15/06,5/1/14,Dropped,1
