Prev_start_date,Prev_expiry_date,New_drop_date,CnAdrPrf_ZIP,CnAttrCat_1_01_Comments,CnAttrCat_2_01_Comments,CnAttrCat_4_01_Description,CnAttrCat_5_01_Description,CnBio_Age,CnBio_Constit_Code,CnBio_ID,CnBio_Import_ID,CnMem_1_01_Consecutive_Years,CnMem_1_01_Cur_Category_description,CnMem_1_01_Cur_Expires_on,CnMem_1_01_Date_Joined,CnMem_1_01_Last_Dropped_Date,CnMem_1_01_Standing,Number_of_Records
,,,60563-8447,,,,,69,Individuals,5297,19931229_LL_005297,21,Morton 2,12/31/14,9/30/93,,Active,1
,,,60532-3221,,,,Donor,66,Individuals,122707,01894-079-0060699,13,Morton 2,3/31/15,8/6/01,,Active,1
,,,60527-2669,,,,,77,Individuals,2406,19931201_BG_002406,21,2 YR Morton 1,9/30/16,9/30/93,,Active,1
,,,60490-1003,,,,,69,Individuals,131568,01894-079-0076275,11,2 YR Morton 4,9/30/16,9/16/03,,Active,1
,,,60187-8472,,,,,,Individuals,131538,01894-079-0076173,11,2 YR Morton 4,9/30/15,9/11/03,,Active,1
,,,60302-2262,,,,,65,Individuals,141514,01894-593-0000095027,9,2 YR Morton 4,8/31/15,8/7/05,,Active,1
,,,60126-4612,,,,Donor,,Individuals,135539,01894-593-0000084745,10,2 YR Morton 2,9/30/15,8/4/04,,Active,1
,,,60185-4404,,,,,72,Individuals,10829,19940517_TC_010829,29,Morton 1,3/31/15,1/31/85,,Active,1
,,,60187,,,,,,Individuals,141543,01894-593-0000095075,9,2 YR Morton 2,9/30/16,8/8/05,,Active,1
,,,60410,,,,,58,Individuals,103964,01894-079-0033974,10,Morton 4,11/30/15,8/16/04,,Active,1
,,,60126-4711,,,,,68,Individuals,135884,01894-593-0000085382,10,2 YR Morton 4,4/30/16,8/24/04,,Active,1
,,,60187-6745,,,,,62,Individuals,141561,01894-593-0000095108,9,Morton 4,10/31/15,8/8/05,,Active,1
,,,60532-1891,,,,,,Individuals,131270,01894-079-0075406,11,2 YR Morton 2,9/30/15,8/8/03,,Active,1
,,,60513-1740,,,,,71,Individuals,141572,01894-593-0000095127,9,2 YR Morton 1,10/31/15,8/9/05,,Active,1
