Prev_start_date,Prev_expiry_date,New_drop_date,CnAdrPrf_ZIP,CnAttrCat_1_01_Comments,CnAttrCat_2_01_Comments,CnAttrCat_4_01_Description,CnAttrCat_5_01_Description,CnBio_Age,CnBio_Constit_Code,CnBio_ID,CnBio_Import_ID,CnMem_1_01_Consecutive_Years,CnMem_1_01_Cur_Category_description,CnMem_1_01_Cur_Expires_on,CnMem_1_01_Date_Joined,CnMem_1_01_Last_Dropped_Date,CnMem_1_01_Standing,Number_of_Records
,,,60181,,,,,86,Individuals,160462,01894-593-0000129342,7,Morton 1,10/31/15,6/14/07,,Active,1
,,,60467,,,,,,Individuals,160420,01894-593-0000129261,7,Morton 4,8/31/15,6/14/07,,Active,1
,,,60516,,,,,66,Individuals,161341,01894-593-0000130932,7,Morton 6,9/30/15,6/15/07,,Active,1
,,,60137,,,,,,Individuals,161368,01894-593-0000130983,7,Morton 4,3/31/15,6/16/07,,Active,1
,,,60148,,,,,,Individuals,160700,01894-593-0000129794,4,Morton 4,4/30/15,3/19/10,,Active,1
,,,60074-5761,,,,,73,Individuals,161496,01894-593-0000131216,7,2 YR Morton 4,8/31/15,6/18/07,,Active,1
,,,60137-5547,,,,,51,Individuals,161494,01894-593-0000131214,7,Morton 6,11/30/14,6/18/07,,Active,1
,,,60516-2101,,,,,85,Individuals,2196,19931201_JF_002196,21,2 YR Morton 2,7/31/16,6/30/93,,Active,1
,,,60423-1310,,,,,77,Individuals,130151,01894-079-0073074,11,Morton 1,7/31/15,4/28/03,,Active,1
,,,60630-2223,,,,,67,Individuals,10317,19940421_SR_010317,20,2 YR Morton 2,7/31/15,4/30/94,,Active,1
,,,60137,,,,,,Individuals,161686,01894-593-0000131582,7,2 YR Morton 2,6/30/16,6/21/07,,Active,1
,,,60563,,,,,,Individuals,155280,01894-593-0000119597,8,Morton 6,10/31/15,10/9/06,,Active,1
,,,60137-5548,,,,,,Individuals,135102,01894-593-0000083917,10,2 YR Morton 6,10/31/15,7/7/04,,Active,1
,,,60555,,,,,,Individuals,155417,01894-593-0000119854,8,2 YR Morton 1,10/31/16,10/15/06,,Active,1
,,,60189,,,,Donor,50,Individuals,119239,01894-079-0054737,14,2 YR Morton 4,11/30/14,10/19/00,,Active,1
,,,60189-8900,,,,Donor,68,Individuals,2591,19931203_RH_002591,21,Morton 2,1/31/15,9/30/93,,Active,1
,,,60521,,,,,,Individuals,14218,19950322_DJ_014218,8,2 YR Morton 2,1/31/15,10/22/06,,Active,1
,,,60515-3730,,,,,68,Individuals,6219,19940105_JM_006219,21,2 YR Morton 4,4/30/15,11/30/92,,Active,1
,,,60189,,,,,,Individuals,161001,01894-593-0000130325,7,Morton 2,8/31/15,6/9/07,,Active,1
,,,60503,,,Recipient,,,Individuals,161209,01894-593-0000130684,7,2 YR Morton 4,6/30/15,6/12/07,,Active,1
,,,60108-1463,,,,,,Individuals,161156,01894-593-0000130609,7,2 YR Morton 6,7/31/16,6/12/07,,Active,1
,,,60467,,,,,,Individuals,161167,01894-593-0000130625,7,Morton 4,7/31/15,6/12/07,,Active,1
,,,60187,,,,,50,Individuals,161250,01894-593-0000130759,7,Morton 4,7/31/15,6/13/07,,Active,1
,,,60525-2358,,,,,,Individuals,161399,01894-593-0000131036,7,2 YR Morton 4,9/30/15,6/13/07,,Active,1
,,,60189,,,,,80,Individuals,3218,19931208_CJ_003218,21,2 YR Morton 1,4/30/15,1/31/93,,Active,1
,,,60558,,,,,,Individuals,161281,01894-593-0000130827,7,Morton 4,7/31/15,6/14/07,,Active,1
,,,60137,,,,,,Individuals,160495,01894-593-0000129398,7,2 YR Morton 2,6/30/16,6/15/07,,Active,1
,,,60441,,,,,71,Individuals,160518,01894-593-0000129448,7,Morton 4,8/31/15,6/16/07,,Active,1
,,,60491,,,Recipient,,69,Individuals,161469,01894-593-0000131170,7,Morton 4,10/31/15,6/17/07,,Active,1
,,,60425,,,,,,Individuals,161416,01894-593-0000131068,7,Morton 6,4/30/15,6/19/07,,Active,1
,,,60453-3839,,,,,43,Individuals,161571,01894-593-0000131354,7,2 YR Morton 4,7/31/15,6/19/07,,Active,1
,,,60540,,,,,78,Individuals,161546,01894-593-0000131311,7,Morton 6,2/28/15,6/19/07,,Active,1
,,,60515,,,,,47,Individuals,161586,01894-593-0000131379,7,Morton 4,8/31/15,6/20/07,,Active,1
,,,60137-5263,,,,,,Individuals,125467,01894-079-0065308,12,2 YR Morton 1,7/31/16,4/5/02,,Active,1
,,,60172,,,,,63,Individuals,161712,01894-593-0000131629,7,2 YR Morton 2,7/31/15,6/24/07,,Active,1
,,,60538,,,,,,Individuals,160894,01894-593-0000130127,7,2 YR Morton 6,8/31/16,6/25/07,,Active,1
,,,60561,,,,,,Individuals,161786,01894-593-0000131772,7,2 YR Morton 2,9/30/15,6/26/07,,Active,1
,,,60187,,,,,,Individuals,161279,01894-593-0000130820,7,Morton 4,10/31/15,6/27/07,,Active,1
,,,60515-3024,,,,,67,Individuals,262,19931102_KW_000262,21,Morton 2,1/31/15,5/31/93,,Active,1
,,,60181,,,,,64,Employee,161799,01894-593-0000131795,7,2 YR Morton 6,9/30/15,6/27/07,,Active,1
,,,60516-3774,,,,Donor,,Individuals,157012,01894-593-0000122621,7,Morton 2,1/31/15,12/26/06,,Active,1
,,,60515-1825,,,,,69,Individuals,157013,01894-593-0000122623,7,Morton 2,2/28/15,12/26/06,,Active,1
,,,60189-8904,,,,,62,Individuals,19073,19960807_KK_019073,18,2 YR Morton 4,7/31/15,8/31/96,,Active,1
,,,60540-7653,,,,,78,Individuals,157050,01894-593-0000122689,7,Morton 6,3/31/15,12/27/06,,Active,1
,,,60137-7244,,,,,78,Individuals,5174,19931228_LE_005174,21,2 YR Morton 4,3/31/15,1/31/93,,Active,1
,,,60187-4642,,,,,71,Volunteers,157020,01894-593-0000122637,7,2 YR Morton 2,12/31/15,12/28/06,,Active,1
,,,60546,,,,,,Individuals,157058,01894-593-0000122705,7,Morton 4,4/30/15,12/30/06,,Active,1
,,,60185,,,,,37,Individuals,157123,01894-593-0000122832,7,2 YR Morton 4,2/28/15,1/2/07,,Active,1
,,,60004-6902,,,,,,Individuals,146455,01894-593-0000103910,8,Morton 2,3/31/15,12/17/05,,Active,1
,,,60190-1588,,,,,69,Individuals,124915,01894-079-0064411,12,2 YR Morton 4,2/28/15,2/8/02,,Active,1
,,,60137-5381,,,,,69,Individuals,114465,01894-079-0048846,14,2 YR Morton 4,2/28/15,2/8/00,,Active,1
,,,60189,Yes,Yes,Recipient,,57,Individuals,157264,01894-593-0000123114,3,2 YR Morton 2,7/31/15,6/29/11,,Active,1
,,,60423-8746,,,,,73,Individuals,157141,01894-593-0000122873,7,2 YR Morton 2,1/31/16,1/4/07,,Active,1
,,,60302-2616,,,,,,Individuals,1839,19931124_LD_001839,21,2 YR Morton 2,2/28/15,1/31/93,,Active,1
,,,60148-2138,,,,Donor,69,Individuals,9018,19940117_RS_009018,20,Morton 4,1/31/15,1/31/94,,Active,1
,,,60540,,,,,,Individuals,157173,01894-593-0000122930,7,Morton 4,6/30/15,1/5/07,,Active,1
,,,60563,,,,,,Individuals,1239,19931118_MC_001239,21,2 YR Morton 1,2/28/15,1/31/93,,Active,1
,,,60563,,,,,,Individuals,157204,01894-593-0000122991,7,2 YR Morton 1,1/31/16,1/8/07,,Active,1
,,,60148-3637,,,,,83,Individuals,819,19931110_BB_000819,20,2 YR Morton 6,2/28/15,1/31/94,,Active,1
,,,60056-4523,,,,,77,Individuals,157212,01894-593-0000123005,7,2 YR Morton 1,1/31/15,1/9/07,,Active,1
,,,60148-2763,,,,,62,Individuals,3773,19931214_JR_003773,20,Morton 2,12/31/14,12/31/93,,Active,1
,,,60558-1207,,,,,63,Individuals,120792,01894-079-0057404,13,2 YR Morton 4,3/31/16,3/7/01,,Active,1
,,,60187-6145,,,,,57,Individuals,13653,19950215_MT_013653,19,2 YR Morton 4,1/31/16,12/31/94,,Active,1
,,,60525-2371,,,,,85,Individuals,7935,19940117_CR_007935,20,2 YR Morton 2,3/31/16,1/31/94,,Active,1
,,,60540,,,,,,Individuals,18146,19960501_MB_018146,18,2 YR Morton 4,5/31/16,5/31/96,,Active,1
,,,60137-6503,,,,,68,Individuals,133240,01894-593-0000080535,10,2 YR Morton 2,4/30/15,2/23/04,,Active,1
,,,60565,,,,,,Individuals,161043,01894-593-0000130407,7,Morton 4,9/30/15,6/10/07,,Active,1
,,,60514,,,,Donor,68,Individuals,161070,01894-593-0000130455,7,Morton 2,10/31/15,6/10/07,,Active,1
,,,60148-1729,,,,Donor,69,Individuals,161069,01894-593-0000130454,7,2 YR Morton 2,6/30/16,6/12/07,,Active,1
,,,60565,,,,,,Individuals,161212,01894-593-0000130690,7,2 YR Morton 2,11/30/15,6/12/07,,Active,1
,,,60005,,,,,,Individuals,180466,01894-593-0000165250,7,2 YR Morton 4,8/31/15,6/12/07,,Active,1
,,,60457-1268,,,,,,Individuals,161190,01894-593-0000130654,7,Morton 4,8/31/15,6/12/07,,Active,1
,,,60502,,,Recipient,Donor,,Individuals,160406,01894-593-0000129235,5,Morton 4,5/31/15,5/8/09,,Active,1
,,,60189,,,,,73,Individuals,160399,01894-593-0000129219,7,2 YR Morton 2,8/31/16,6/13/07,,Active,1
,,,60164-1446,,,,,,Individuals,130574,01894-079-0073785,11,2 YR Morton 4,10/31/15,5/23/03,,Active,1
,,,60516-1247,,,,,59,Individuals,161393,01894-593-0000131024,7,2 YR Morton 1,7/31/15,6/13/07,,Active,1
,,,60540,,,,,,Individuals,161357,01894-593-0000130958,7,Morton 2,7/31/15,6/15/07,,Active,1
,,,60564,,,,,,Individuals,161317,01894-593-0000130892,7,Morton 4,7/31/15,6/15/07,,Active,1
,,,60137,,,,,40,Individuals,161392,01894-593-0000131023,7,Morton 4,8/31/15,6/16/07,,Active,1
,,,60565,,,,,51,Individuals,161470,01894-593-0000131172,7,2 YR Morton 4,6/30/16,6/17/07,,Active,1
,,,60050,,,,,,Individuals,161624,01894-593-0000131459,7,2 YR Morton 4,8/31/15,6/19/07,,Active,1
,,,60516-2107,,,,,,Individuals,134497,01894-593-0000082874,10,2 YR Morton 4,8/31/16,6/2/04,,Active,1
,,,60521,,,,Donor,,Individuals,146759,01894-593-0000104419,8,Morton 2,3/31/15,12/27/05,,Active,1
,,,60193-5576,,,,Donor,,Individuals,147789,01894-593-0000106154,8,2 YR Morton 1,3/31/16,3/24/06,,Active,1
,,,60137,Yes,,,Donor,,Individuals,156490,01894-593-0000121761,2,2 YR Morton 2,6/30/16,6/25/12,,Active,1
,,,60532,,,,,,Individuals,104643,01894-079-0035180,17,2 YR Morton 2,3/31/16,10/10/97,,Active,1
,,,60139-1810,,,,Donor,,Individuals,148211,01894-593-0000106903,8,2 YR Morton 2,4/30/16,4/9/06,,Active,1
,,,60137,,,,,22,Individuals,156647,01894-593-0000122002,7,Morton 6,7/31/15,12/16/06,,Active,1
,,,60137-3856,,,,,70,Individuals,101701,01894-079-0028028,17,2 YR Morton 2,3/31/16,1/27/97,,Active,1
,,,60516-1047,,,,,70,Individuals,117397,01894-079-0051601,14,Morton 2,6/30/15,5/26/00,,Active,1
,,,60014,,,,Donor,,Individuals,156857,01894-593-0000122356,7,Morton 1,12/31/14,7/10/07,,Active,1
,,,60137-4251,,,,,65,Individuals,8508,19940117_CS_008508,22,2 YR Morton 1,1/31/15,1/31/92,,Active,1
,,,60126-4827,,,Recipient,Donor,72,Individuals,146054,01894-593-0000103259,8,Morton 6,1/31/15,12/5/05,,Active,1
,,,60517,,,,,,Individuals,156764,01894-593-0000122195,7,Morton 1,4/30/15,12/19/06,,Active,1
,,,60143-2526,,,,,,Individuals,120411,01894-079-0056756,13,2 YR Morton 4,4/30/16,1/14/01,,Active,1
,,,60532,,,,,,Individuals,156895,01894-593-0000122413,7,2 YR Morton 2,1/31/16,12/22/06,,Active,1
,,,60555,,,,,,Individuals,156558,01894-593-0000121861,7,Morton 2,12/31/14,12/26/06,,Active,1
,,,60137-7236,,,,,40,Individuals,138004,01894-593-0000089189,9,2 YR Morton 6,4/30/15,12/27/04,,Active,1
,,,60126-2550,,,,,,Individuals,157017,01894-593-0000122631,7,2 YR Morton 4,2/28/15,12/26/06,,Active,1
,,,47905,,,,Donor,56,Individuals,120275,01894-079-0056515,13,2 YR Morton 2,1/31/15,12/22/00,,Active,1
,,,60516,,,,,,Individuals,144949,01894-593-0000101330,9,Morton 4,10/31/15,10/23/05,,Active,1
,,,60126-2344,,,,,,Individuals,144971,01894-593-0000101378,9,2 YR Morton 4,12/31/15,10/24/05,,Active,1
,,,60526,,,,,98,Individuals,2426,19931201_MG_002426,20,Oak Circle,11/30/14,12/31/93,,Active,1
,,,60137-7036,,,,,82,Individuals,10439,19940425_IL_010439,20,Morton 2,10/31/15,4/30/94,,Active,1
,,,60137-7428,,,,,78,Individuals,8910,19940117_DS_008910,21,Morton 4,9/30/15,10/31/93,,Active,1
,,,60187-8000,,,,,64,Individuals,110660,01894-079-0043704,15,2 YR Morton 6,7/31/16,4/4/99,,Active,1
,,,60515-3458,,,,,73,Individuals,9580,19940117_JW_009580,21,2 YR Morton 4,1/31/16,10/31/93,,Active,1
,,,60532-3440,,,,,,Individuals,132697,01894-079-0079293,10,Morton 4,1/31/15,12/19/03,,Active,1
,,,60563-2824,,,,,74,Volunteers,1031,19931116_BB_001031,21,Partner,2/28/15,1/31/93,,Active,1
,,,60555,,,,,,Individuals,120137,01894-079-0056281,13,2 YR Morton 2,12/31/15,12/9/00,,Active,1
,,,60565-6808,,,,,67,Individuals,15516,19950620_NK_015516,20,2 YR Morton 4,7/31/15,6/30/94,,Active,1
,,,60532,,,,,66,Individuals,161765,01894-593-0000131734,7,2 YR Morton 2,8/31/16,6/26/07,,Active,1
,,,60510,,,,,87,Individuals,18907,19960717_LB_018907,18,2 YR Morton 2,9/30/15,7/31/96,,Active,1
,,,60527,,,,,,Individuals,161875,01894-593-0000131951,7,2 YR Morton 2,6/30/16,6/28/07,,Active,1
,,,60558,,,,,67,Individuals,160950,01894-593-0000130231,7,2 YR Morton 2,9/30/15,6/28/07,,Active,1
,,,60563-3035,,,,,76,Individuals,122199,01894-079-0059853,13,2 YR Morton 2,6/30/15,6/11/01,,Active,1
,,,60652-3520,,,,,73,Individuals,121956,01894-079-0059436,13,Morton 4,6/30/15,5/14/01,,Active,1
,,,60190,,,,,59,Individuals,161004,01894-593-0000130331,7,Morton 2,4/30/15,6/29/07,,Active,1
,,,60119-9017,,,,Donor,60,Individuals,126567,01894-079-0066974,12,2 YR Morton 2,7/31/15,5/27/02,,Active,1
,,,60005,,,,Donor,69,Individuals,161951,01894-593-0000132102,6,Morton 4,8/31/15,6/21/08,,Active,1
,,,60515,,,,,,Individuals,161976,01894-593-0000132150,7,2 YR Morton 6,11/30/15,6/30/07,,Active,1
,,,60137,,,,Donor,74,Individuals,124533,01894-079-0063765,12,2 YR Morton 2,1/31/16,12/21/01,,Active,1
,,,60446,,,,,,Individuals,157104,01894-593-0000122793,7,Morton 2,7/31/15,1/5/07,,Active,1
,,,60137-4242,,,,,,Individuals,129173,01894-079-0071451,11,2 YR Morton 2,1/31/15,1/3/03,,Active,1
,,,60137-4631,,,,,55,Individuals,101040,01894-079-0026631,18,2 YR Morton 2,6/30/15,11/3/96,,Active,1
,,,60137-4140,,,,,54,Individuals,13745,19950227_DE_013745,19,2 YR Morton 4,3/31/15,2/28/95,,Active,1
,,,60137-5217,,,,,70,Individuals,1209,19931118_RC_001209,21,Morton 2,2/28/15,1/31/93,,Active,1
,,,60126-4340,,,,,70,Individuals,105026,01894-079-0035687,15,Morton 6,5/31/15,1/21/99,,Active,1
,,,60187,,,,,60,Individuals,157263,01894-593-0000123111,7,2 YR Morton 4,12/31/14,1/18/07,,Active,1
,,,60119,,,,,,Individuals,157271,01894-593-0000123127,7,Morton 2,1/31/15,1/20/07,,Active,1
,,,60008,,,,,,Individuals,157287,01894-593-0000123160,7,2 YR Morton 2,3/31/15,1/21/07,,Active,1
,,,60532-1546,,,,,,Individuals,760,19931105_KB_000760,20,2 YR Morton 6,3/31/15,2/28/94,,Active,1
,,,60174-1162,,,,,,Individuals,5940,19940104_DM_005940,33,Morton 2,6/30/15,1/31/81,,Active,1
,,,60565-9302,,,,,75,Individuals,114782,01894-079-0049358,14,2 YR Morton 2,5/31/15,3/12/00,,Active,1
,,,60516-1126,,,,,79,Individuals,90,19931029_EA_000090,21,2 YR Morton 2,3/31/15,2/28/93,,Active,1
,,,60189-7892,,,,,73,Individuals,8495,19940117_ES_008495,20,2 YR Morton 2,3/31/15,1/31/94,,Active,1
,,,60532-1303,,,,Donor,74,Individuals,1389,19931119_DC_001389,21,Morton 4,3/31/15,2/28/93,,Active,1
,,,60517,,,,,64,Individuals,125052,01894-079-0064656,12,Morton 6,2/28/15,2/24/02,,Active,1
,,,60523-2568,,,,,71,Individuals,114669,01894-079-0049178,14,2 YR Morton 6,3/31/16,2/28/00,,Active,1
,,,60532-2252,,,,Donor,70,Individuals,203791,01894-593-0000207712,2,Morton 2,7/31/15,6/6/12,,Active,1
,,,60532,,,,,64,Individuals,157249,01894-593-0000123082,7,2 YR Morton 2,3/31/15,1/22/07,,Active,1
,,,60137-7100,,,,,78,Individuals,102030,01894-079-0028888,17,2 YR Morton 2,3/31/16,3/18/97,,Active,1
,,,60126-4840,,,,,,Individuals,142740,01894-593-0000097192,9,Morton 1,1/31/15,9/23/05,,Active,1
,,,60490-1436,,,,,,Individuals,157323,01894-593-0000123266,7,Morton 6,3/31/15,1/24/07,,Active,1
,,,60515-3729,,,,,72,Individuals,114589,01894-079-0049046,14,2 YR Morton 1,4/30/15,2/23/00,,Active,1
,,,60538-1325,,,,,43,Individuals,101915,01894-079-0028674,17,2 YR Morton 2,4/30/15,3/9/97,,Active,1
,,,60563,,,,,57,Individuals,2216,19931201_LF_002216,21,2 YR Morton 2,3/31/15,3/31/93,,Active,1
,,,60187,,,,,81,Individuals,8666,19940117_LS_008666,20,Morton 2,11/30/15,2/28/94,,Active,1
,,,60555-3968,,,,,66,Individuals,147817,01894-593-0000106195,8,Morton 4,4/30/15,3/27/06,,Active,1
,,,60525-3558,,,,,,Individuals,133394,01894-593-0000080814,10,2 YR Morton 4,3/31/15,3/14/04,,Active,1
,,,60189-7410,,,,,,Individuals,147622,01894-593-0000105857,8,2 YR Morton 4,8/31/16,3/12/06,,Active,1
,,,60462,,,,,66,Individuals,145813,01894-593-0000102860,8,2 YR Morton 4,3/31/16,11/21/05,,Active,1
,,,60431,,,,,56,Individuals,133551,01894-593-0000081123,10,2 YR Morton 2,4/30/15,3/26/04,,Active,1
,,,60187,,,,,46,Individuals,147832,01894-593-0000106225,8,Morton 4,6/30/15,3/27/06,,Active,1
,,,60462-6521,,,,,83,Individuals,147693,01894-593-0000105984,8,Morton 2,3/31/15,3/19/06,,Active,1
,,,60137-5725,,,,,50,Individuals,147668,01894-593-0000105941,8,Morton 4,6/30/15,3/17/06,,Active,1
,,,60514-1313,,,,,,Individuals,114491,01894-079-0048885,14,2 YR Morton 2,9/30/15,2/12/00,,Active,1
,,,60532,,,,,74,Individuals,5324,19931229_RL_005324,21,Morton 4,6/30/15,3/31/93,,Active,1
,,,60517,,,,,50,Individuals,157390,01894-593-0000123448,7,Morton 4,4/30/15,2/3/07,,Active,1
,,,60137,,,,,68,Individuals,6855,19940110_RO_006855,21,2 YR Morton 1,3/31/15,7/31/93,,Active,1
,,,60510-2908,,,,,,Individuals,157400,01894-593-0000123464,7,Morton 2,4/30/15,2/6/07,,Active,1
,,,60126,,,,,52,Individuals,157405,01894-593-0000123475,7,2 YR Morton 2,2/29/16,2/7/07,,Active,1
,,,60148,,,,,73,Individuals,746,19931105_CB_000746,21,Morton 1,3/31/15,3/31/93,,Active,1
,,,60565-6713,,,,,62,Volunteers,312,19931102_CB_000312,21,Morton 4,3/31/15,3/31/93,,Active,1
,,,60565-2248,,,,,53,Individuals,7907,19940117_MR_007907,20,2 YR Morton 6,6/30/15,2/28/94,,Active,1
,,,60130,,,,,77,Individuals,7523,19940117_JP_007523,20,2 YR Morton 2,3/31/15,3/31/94,,Active,1
,,,60181,,,,Donor,57,Individuals,144840,01894-593-0000101131,9,Morton 2,10/31/15,10/22/05,,Active,1
,,,60565-3485,,,,,44,Individuals,130135,01894-079-0073053,11,2 YR Morton 4,4/30/15,4/26/03,,Active,1
,,,60515-3738,,,,,63,Individuals,107192,01894-079-0038784,16,2 YR Morton 4,4/30/15,4/27/98,,Active,1
,,,60137,,,,Donor,,Individuals,148040,01894-593-0000106609,8,Morton 4,9/30/15,3/30/06,,Active,1
,,,60540-5536,,,,,60,Individuals,157678,01894-593-0000123982,7,2 YR Morton 4,3/31/15,3/9/07,,Active,1
,,,60515-3052,,,,Donor,59,Individuals,157694,01894-593-0000124009,7,Morton 2,3/31/15,3/10/07,,Active,1
,,,60137,,,,,58,Individuals,157722,01894-593-0000124057,7,2 YR Morton 2,4/30/15,3/11/07,,Active,1
,,,60101,,,,,77,Individuals,157727,01894-593-0000124066,7,Morton 4,10/31/15,3/11/07,,Active,1
,,,60532,,,,,53,Individuals,157728,01894-593-0000124068,7,2 YR Morton 4,3/31/15,3/11/07,,Active,1
,,,60540,,,,,50,Individuals,148393,01894-593-0000107245,8,2 YR Morton 2,4/30/16,4/13/06,,Active,1
,,,60404,,,,,70,Individuals,106646,01894-079-0038050,16,Morton 4,4/30/15,4/8/98,,Active,1
,,,60515-2759,,,,,71,Individuals,10529,19940427_CC_010529,20,Morton 4,3/31/15,4/30/94,,Active,1
,,,60527-4820,,,,,,Individuals,129990,01894-079-0072844,11,2 YR Morton 6,4/30/16,4/21/03,,Active,1
,,,60510-3509,,,,,63,Individuals,106660,01894-079-0038064,16,2 YR Morton 2,5/31/15,4/9/98,,Active,1
,,,60540-7902,,,,,78,Individuals,18001,19960422_PC_018001,18,Morton 2,4/30/15,4/30/96,,Active,1
,,,60510-2806,,,,,,Individuals,147797,01894-593-0000106166,8,2 YR Morton 2,5/31/15,3/27/06,,Active,1
,,,60504-6100,,,,,47,Individuals,147965,01894-593-0000106470,8,2 YR Morton 2,8/31/16,4/4/06,,Active,1
,,,60540,,,,,73,Individuals,161683,01894-593-0000131576,7,2 YR Morton 4,9/30/16,6/24/07,,Active,1
,,,60515,,,,,60,Individuals,117549,01894-079-0051824,14,2 YR Morton 2,6/30/16,6/6/00,,Active,1
,,,60181-6594,,,,,,Volunteers,111611,01894-079-0044937,15,2 YR Morton 1,6/30/15,5/23/99,,Active,1
,,,60559,,,,,,Individuals,122290,01894-079-0059996,13,2 YR Morton 4,6/30/15,6/18/01,,Active,1
,,,60527,,,,Donor,68,Individuals,161760,01894-593-0000131727,7,Morton 2,9/30/16,6/26/07,,Active,1
,,,60563,,,,,71,Individuals,18734,19960620_SK_018734,18,Morton 4,10/31/15,6/30/96,,Active,1
,,,60516-1363,,,,Donor,76,Individuals,134843,01894-593-0000083444,10,2 YR Morton 2,10/31/16,6/18/04,,Active,1
,,,60440,,,,,,Individuals,157117,01894-593-0000122817,7,Morton 4,2/28/15,1/2/07,,Active,1
,,,60137,,,,,77,Individuals,105643,01894-079-0036566,16,2 YR Morton 2,1/31/15,12/28/97,,Active,1
,,,60137-5614,,,,,85,Individuals,600,19931104_WB_000600,20,2 YR Morton 2,1/31/16,1/31/94,,Active,1
,,,60441-3804,,,,,69,Individuals,101712,01894-079-0028059,17,2 YR Morton 6,2/28/15,2/1/97,,Active,1
,,,60565,,,,Donor,65,Individuals,146276,01894-593-0000103615,8,Morton 2,2/28/15,12/12/05,,Active,1
,,,60516-3827,,,,,67,Individuals,109946,01894-079-0042680,15,Morton 2,5/31/15,12/21/98,,Active,1
,,,60467-6810,,,,,56,Individuals,157235,01894-593-0000123051,7,2 YR Morton 4,1/31/16,1/14/07,,Active,1
,,,60137-7905,,,,Donor,75,Individuals,9389,19940117_PV_009389,20,Morton 1,3/31/15,1/31/94,,Active,1
,,,60565-6700,,,,,59,Individuals,13687,19950217_MF_013687,19,2 YR Morton 2,2/29/16,2/28/95,,Active,1
,,,60540,,,,,,Individuals,157266,01894-593-0000123118,7,2 YR Morton 1,4/30/15,1/19/07,,Active,1
,,,60515-2936,,,,,63,Individuals,2204,19931201_MF_002204,21,Morton 2,3/31/15,3/31/93,,Active,1
,,,60108,,,,,66,Individuals,157276,01894-593-0000123134,7,2 YR Morton 2,5/31/16,1/20/07,,Active,1
,,,60440-1131,,,,,,Individuals,122440,01894-079-0060262,7,2 YR Morton 2,1/31/16,1/23/07,,Active,1
,,,60563-3242,,,,,,Individuals,125053,01894-079-0064657,12,Morton 4,4/30/15,2/24/02,,Active,1
,,,60532-3336,,,,,,Individuals,101901,01894-079-0028641,17,Morton 1,5/31/15,3/6/97,,Active,1
,,,60563-2305,,,,,,Individuals,17678,19960319_RK_017678,18,2 YR Morton 4,3/31/15,3/31/96,,Active,1
,,,60707-2418,,,,,58,Individuals,146498,01894-593-0000103981,8,Morton 4,1/31/15,12/19/05,,Active,1
,,,60516,,,,,75,Individuals,17032,19951213_RN_017032,18,Morton 2,1/31/15,12/31/95,,Active,1
,,,60190-1878,,,,,69,Individuals,145367,01894-593-0000102066,9,2 YR Morton 2,11/30/14,11/3/05,,Active,1
,,,60137,,,,,48,Individuals,158869,01894-593-0000126280,7,Morton 4,7/31/15,4/23/07,,Active,1
,,,60435,,,,Donor,67,Individuals,158822,01894-593-0000126182,7,2 YR Morton 1,7/31/16,4/24/07,,Active,1
,,,60148-3449,,,Recipient,,61,Individuals,17816,19960328_GH_017816,18,2 YR Morton 2,6/30/15,4/30/96,,Active,1
,,,60555-2223,,,,Donor,54,Individuals,4264,19931216_JI_004264,21,2 YR Morton 4,4/30/15,3/31/93,,Active,1
,,,60631-2139,,,,,63,Individuals,158955,01894-593-0000126432,7,Morton 1,4/30/15,4/27/07,,Active,1
,,,60523-1420,,,,,,Individuals,159014,01894-593-0000126550,7,Morton 4,4/30/15,4/28/07,,Active,1
,,,60188-3904,,,,,71,Individuals,107107,01894-079-0038665,16,2 YR Morton 2,6/30/15,6/23/98,,Active,1
,,,60525,,,,,61,Individuals,159103,01894-593-0000126700,7,2 YR Morton 2,5/31/16,4/29/07,,Active,1
,,,60187-4522,,,,,69,Individuals,121782,01894-079-0059164,13,2 YR Morton 4,6/30/15,5/2/01,,Active,1
,,,60137,,,,,,Individuals,159241,01894-593-0000126968,7,Morton 6,5/31/15,5/1/07,,Active,1
,,,60554,,,,,,Individuals,158757,01894-593-0000126066,7,Morton 2,5/31/15,5/2/07,,Active,1
,,,60517,,,,,63,Individuals,105374,01894-079-0036177,7,2 YR Morton 6,3/31/15,5/2/07,,Active,1
,,,60189,,,,,,Individuals,159273,01894-593-0000127052,7,Morton 2,6/30/15,5/2/07,,Active,1
,,,60515-1604,,,,,78,Individuals,10614,19940504_MB_010614,20,Morton 1,5/31/15,5/31/94,,Active,1
,,,60558-1833,,,,,80,Individuals,15062,19950511_HP_015062,19,2 YR Morton 4,5/31/15,5/31/95,,Active,1
,,,60091,,,,,75,Individuals,137509,01894-593-0000088387,10,2 YR Morton 6,12/31/14,11/7/04,,Active,1
,,,60532,,,,Donor,,Individuals,154907,01894-593-0000118885,8,2 YR Morton 1,10/31/16,10/1/06,,Active,1
,,,60137-4222,,,,,,Individuals,154936,01894-593-0000118935,8,Morton 4,11/30/15,10/1/06,,Active,1
,,,60134,,,,Donor,70,Individuals,9571,19940117_TW_009571,21,2 YR Morton 2,10/31/15,9/30/93,,Active,1
,,,60532-4173,,,,,,Individuals,101113,01894-079-0026769,18,Morton 2,4/30/15,11/11/96,,Active,1
