FIPS,Female_life_Growth,Male_life_Growth,Per_young,Per_old,Per_white,Per_black,Per_hispanic,Per_single_mother,Per_NO_HighSchool,Per_college,Rate_median_income,Percent_divorced,Per_Evangelical_adherent,Per_Evangelical_congregations,Per_Obama,Per_Romney,Per_Rural,Per_diabetic,Per_Obese,Per_Physically_Inactive,Rate_Teen_Birth,Rate_Violent_Crime
8029,1.13,2.38999999999999,21.7,20.67,94.24,1.22,13.74,5.21,13.04,17.66,41856,21.96,.376534684325972,.59016393442623,.29,.69,63.2,7,20,24,52,259
8031,2.57000000000001,4.21000000000001,21.58,10.44,73.63,10.15,31.95,6.85,15.29,41.27,47499,19.49,.171541726839307,.451025056947608,.73,.24,0,6,18,16,78,569
8033,-.0699999999999932,4.55000000000001,24.03,17.28,95.55,0,3.13,4.59,11.93,15.45,44077,18.84,.557162937406937,.428571428571429,.27,.69,100,6,21,22, ,0
8035,5.75,7.44,30.46,6.79,91.03,1.12,7.44,4.64,2.47,54.64,101193,12.13,.508177069954619,.632352941176471,.36,.63,10.3,4,16,11,10,121
8037,3.95999999999999,7.61,24.48,5.24,90.19,.27,29.46,4.81,12.2,46.95,70914,12.06,.136750687954612,.5,.56,.42,20,3,14,11,44,149
8039,2.8,4.87,25.93,9.08,94.85,.47,5.53,4.31,3.18,30.25,79367,12.82,.379870081828472,.565217391304348,.25,.73,100,5,22,19,13,49
8041,2.08,4.16,26.15,9.86,81.26,6.01,14.77,8.23,7.18,35.09,57079,18.33,.458746808431201,.622065727699531,.38,.59,8.9,6,21,18,38,481
8043,1.42,3.81,16.22,17.18,84.12,5.72,12.28,6.12,16.12,16.51,38979,22.81,.334556549932573,.679245283018868,.33,.65,26.4,8,22,20,51,300
8045,3.11000000000001,4.89,27.12,8.32,91.2,.76,27.22,6.1,14.65,24.82,63929,17.28,.329526026699647,.571428571428571,.46,.51,24.1,5,18,15,54, 
8047,1.61,3.08,17.73,9.56,93.78,1.87,4.52,5.41,5.92,27.35,59394,23.24, , ,.57,.4,100,6,20,19, ,342
8049,4.77000000000001,5.97999999999999,21.12,9.85,94.82,.21,7.21,4.47,5.74,29.56,64281,18.23,.295141030361594,.5,.45,.52,82.6,5,19,17,25,284
8051,6.28,8.02000000000001,18.46,8.58,93.39,.62,7.77,3.94,7.29,47.02,50073,12.68,.183914114748328,.571428571428571,.58,.39,58.6,4,16,15,14,291
8053,.649999999999991,5.38,11.08,21.2,99.73,0,3.83,.62,4.86,41.53,77321,11.69,.292847250563024,.25,.38,.59,100,7,20,20, ,79
8055,1.24000000000001,1.52,18.49,24.12,72.47,2.84,33.97,7.69,16.79,24.98,29737,22.35,.123583326427408,.375,.52,.45,56.1,7,20,24,60,198
8057,4.98999999999999,5.99000000000001,20.75,20.28,97.39,.27,7.5,4.48,9.94,21.8,48571,17.39,.3959550380726,.714285714285714,.25,.71,100,7,21,19, ,123
8059,2.65000000000001,4.75,22.47,12.3,89.78,1.09,14.05,6.46,6.78,39.68,67827,18.5,.36063241205481,.585074626865672,.51,.47,6.9,6,19,16,25,260
8061,.660000000000011,3.47000000000001,27.89,19.5,97.16,.06,3.47,9.74,8.78,23,41542,20.96,.84119136109179,.625,.14,.82,100,7,24,22, ,0
8063,.529999999999987,4.87,22.52,15.87,91.73,3.2,17.88,6.76,16.2,15.42,43194,21,.418212123690244,.620689655172414,.22,.76,48.7,6,27,27,46,185
8065,3.58,5.26000000000001,25.19,8.33,74.09,.7,38.93,6.68,19.22,21.66,40543,22.43,.311657931562909,.6,.6,.36,31.1,4,18,18,73,266
8067,3.38000000000001,5.91,20.39,11.4,87.05,.6,11.73,5.58,6.1,41.03,56910,16.32,.191778189709479,.571428571428571,.53,.44,59.9,5,16,15,24,362
8069,3.14,4.61,21.43,11.57,91.07,.77,10.41,5.15,6.1,43.06,57215,14.99,.462643842990241,.597402597402597,.51,.46,11.7,5,19,14,21,261
8071,.0900000000000034,3.36,21.47,17.56,84.24,1.77,41.14,7.03,16.46,18.17,40617,21.08,.097118152029009,.590909090909091,.5,.48,40.8,8,22,25,61,218
8073,.660000000000011,3.47000000000001,18.42,16.59,86.85,8.24,11.52,7.41,20.13,12.32,43375,21.68,.306348052496514,.56,.24,.74,100,7,22,24,50,153
8075,1.55,3.74000000000001,20.38,14.4,93.99,1,15.27,8.87,12.54,16.43,42324,20.75,.259091561594555,.514285714285714,.3,.68,29.2,6,23,23,41,259
8077,1.81,3.66,23.55,14.89,89.68,.7,13.01,5.9,10.18,26.09,52986,20.37,.493893934430497,.614864864864865,.33,.65,12.7,6,22,18,48,303
8079,.649999999999991,5.38,6.36,27.66,97.79,0,2.63,0,2.37,39.65,54375,18.72,.742498761712815,.4,.45,.53,100,7,19,19, ,0
8081,1.17999999999999,3.55000000000001,26.76,10.72,91.54,.31,13.76,3.67,13.47,14.13,50758,19.97,.370136141312813,.521739130434783,.21,.76,27.4,6,24,26,57,232
8083,-.0699999999999932,4.55000000000001,23.43,16.34,83.21,.04,10.9,8.48,10.79,26.13,45623,21.74,.415824486910828,.595744680851064,.37,.6,67.2,7,19,21,53,327
8085,1.83,3.22,24.75,17.65,90.92,.63,19.14,6.12,15.4,22.92,47479,20.37,.330814896964296,.661016949152542,.31,.67,45,6,19,20,54,197
8087,1.72,4.44,27.51,13.89,87.18,2.86,33.46,8.01,21.88,14.57,42792,19.16,.265295006232014,.577777777777778,.36,.62,32.5,7,26,24,65,118
8089,.660000000000011,3.47000000000001,24.96,17.98,87.27,.5,39.73,9.47,19.38,13.55,31246,24.17,.1358970815483,.60377358490566,.44,.54,34.4,8,26,24,62,329
8091,.649999999999991,5.38,21.96,15.79,95.42,0,3.8,2.67,3.05,42.08,61935,16.74,.259161676646707,.444444444444444,.52,.46,100,7,18,16, ,370
8093,3.58,5.26000000000001,19.66,11.02,97.71,.03,4.67,5.16,5.22,33.84,61284,16.27,.527504297546492,.631578947368421,.41,.56,100,6,19,20,11,98
8095,1.55,3.74000000000001,25.94,19.4,94.81,.34,18.11,5.64,14.23,19.29,44717,19.97,.542397786531153,.722222222222222,.26,.72,100,7,22,20,48,101
8097,6.28,8.02000000000001,17.79,11.11,95.71,.13,8.55,2.63,4.47,56.46,68242,15.96,.130957610366791,.25,.68,.3,44.2,5,14,13, ,228
8099,.039999999999992,1.63000000000001,27.56,14.5,92.49,.08,34.67,9.89,19.13,18.88,34513,18.96,.264479870393699,.58974358974359,.31,.67,37.9,7,22,28,69,203
8101,1.02,3.62,24.6,15.27,82.42,1.92,40.99,9.99,14.31,21.45,41273,22.47,.144826256687069,.560509554140127,.55,.42,14.2,8,24,20,63,582
8103,1.17999999999999,3.55000000000001,24.12,12.45,95.22,.68,9.01,4.08,6.67,23.03,63125,19.1,.300162478577311,.6,.17,.81,100,6,20,19,43,378
8105,.649999999999991,5.38,25.45,16.1,80.79,.34,41.55,6.11,14.76,19.19,37885,21.58,.294586297266941,.567567567567568,.45,.53,62.5,7,21,24,76,285
8107,4.98999999999999,5.99000000000001,20.52,7.84,96.3,.12,6.31,4.37,2.69,47.85,64230,13.23,.235403161961861,.666666666666667,.57,.41,45.2,3,14,11,15,289
8109,1.42,3.81,22.47,13.61,81.44,.42,41.05,6.83,22.68,20.08,33672,24.62,.112382537594559,.391304347826087,.63,.34,100,5,21,19,58,241
8111,-.0699999999999932,4.55000000000001,9.74,12.48,95.13,0,19.23,0,9.4,26.5,36378,28.63,.0960431773053762,.285714285714286,.53,.42,100,6,19,19, ,276
8113,-.0699999999999932,4.55000000000001,19.82,6.03,96.03,.2,8.17,4.63,4.32,50.37,66789,12.76,.190227789746108,.625,.7,.27,100,4,17,13,22,137
8115,1.55,3.74000000000001,18.74,26.28,93.97,.29,10.17,2.9,14.81,15.03,36797,23.4,.549161523468107,.583333333333333,.31,.66,100,7,24,21, ,238
8117,4.02000000000001,6.23,17.7,7.71,92.33,.49,13.47,3.54,5.29,49.22,67915,13.09,.29017290273327,.62962962962963,.61,.37,19.5,4,15,12,33,189
8119,5.02,5.60000000000001,20.91,12.46,94.98,.69,5.18,5.28,5.86,29.85,57931,17.7,.409728117639467,.541666666666667,.32,.65,62.6,7,19,19,24,141
8121,1.72,4.44,23.04,18.43,97.77,.15,9.05,3.73,12.99,18.59,43945,14.94,.297503151232333,.65,.18,.8,100,8,21,27,34,180
8123,2.65000000000001,4.75,27.94,9.39,88.33,.86,28.18,6.79,14.77,25.57,55825,16.44,.322277861793532,.648780487804878,.42,.55,20.5,6,25,18,46,288
8125,.529999999999987,4.87,26.73,15.95,93.74,.23,19.93,3.91,13.58,16.41,44991,17.15,.426766042905522,.65625,.21,.77,64.9,6,24,22,49,85
9001,5.06,6.56,24.91,13.44,76.62,10.65,16.45,7.23,11.58,44.01,82558,16.32,.080882029905789,.370030581039755,.55,.44,4.6,6,18,20,19,309
9003,3.36,4.92,23.02,14.47,73.21,12.86,14.93,9.62,12.72,33.92,64007,19.2,.114356181230434,.33968253968254,.62,.36,5.4,8,24,23,28,331
9005,3.39999999999999,5.52999999999999,21.88,15.59,94.35,1.19,4.34,5.7,8.69,32.73,71497,18.19,.0558383107595066,.221590909090909,.47,.51,41.4,7,20,19,13,124
9007,3.36999999999999,5.93000000000001,21.41,15.13,89.26,4.45,4.62,6.05,6.98,38.33,77095,17.9,.0570120704437517,.241666666666667,.57,.41,24.5,7,23,21,11,112
9009,3.47,5.86000000000001,22.57,14.27,75.67,12.27,14.56,9.62,12.17,32.28,62497,18.59,.0794986791177735,.354948805460751,.6,.39,3.6,9,27,27,26,442
9011,3.33,6.14,21.92,14,82.69,5.44,8.16,8.03,9.92,30.93,67010,18.89,.0756829466107353,.320512820512821,.58,.4,25.8,8,24,23,24,374
9013,3.02999999999999,5.98,20.41,11.8,90.11,2.9,4.23,6.2,7.57,36.49,80333,14.04,.0676487926509786,.306818181818182,.56,.43,38.2,7,23,19,7, 
9015,2.82000000000001,5.72,22.62,12.6,90.89,1.81,9.28,8.31,14.5,21.97,60063,19.72,.0832054710446714,.339449541284404,.56,.42,49.8,9,30,26,25, 
10001,3.52,4.19,25.04,13.35,69.54,23.48,5.61,10.32,15.12,20.03,54783,19.71,.284679631398897,.5,.52,.47,27,12,33,28,39,619
10003,3.42999999999999,5.01000000000001,23.39,12.17,68.01,23.51,8.42,9.62,11.11,32.69,64158,18,.131792098162009,.409200968523002,.66,.32,4.6,8,27,22,32,705
