"","IRI_KEY","FIPS","NAME","State_Name","REGION","DIVISION","Zip_name","Good_Bad","Zip_key","Zip_lon","Zip_lat","Share_Camp","Share_Other","Share_PL","Share_prog","per_kids18","per_kids9","per_old","per_white","per_black","hhsize","Per_college","per_hh_less20K","median_inc","capita_inc","Factor1","Factor2","Factor3","CLUSTER.cluster"
"1773",654746,48121,"Denton County","Texas",3,7,"75077 Lewisville","Bad",75077,-97.07,33.08,0.612653751,0.062723741,0.19250203,0.132120477,0.31,0.17,0.04,0.89,0.04,3.01,0.42,0.03,86988,34747,1.46644849087853,1.70325665390554,0.700902019031631,2
"1774",654767,45037,"Edgefield County","South Carolina",3,5,"29860 North Augusta","Bad",29860,-81.98,33.61,0.693734986,0.013772554,0.216715973,0.075776488,0.29,0.16,0.08,0.82,0.16,2.88,0.22,0.18,52720,21161,0.848399806935642,-0.149985033624316,0.467139456846363,3
"1775",654982,13067,"Cobb County","Georgia",3,5,"30064 Marietta","Good",30064,-84.62,33.94,0.632919444,0.03349481,0.030649819,0.302935927,0.28,0.15,0.09,0.8,0.15,2.74,0.4,0.1,67586,30115,0.664842695002806,0.870045094819624,0.151273152215318,2
"1776",655063,37183,"Wake County","North Carolina",3,5,"27519 Cary","Bad",27519,-78.88,35.81,0.566074607,0.062196546,0.093337949,0.278390898,0.25,0.14,0.12,0.78,0.11,2.57,0.27,0.18,50040.72,24496.63,0.0075464088494815,0.00120338496052695,0.0303895714036761,3
"1777",655064,37035,"Catawba County","North Carolina",3,5,"28601 Hickory","Bad",28601,-81.32,35.77,0.71091151,0.0551524,0.124762255,0.109173835,0.23,0.13,0.13,0.88,0.05,2.41,0.23,0.2,42046,23900,-0.445252258594025,-0.446008534379623,0.54174826927172,3
"1778",655563,42029,"Chester County","Pennsylvania",1,2,"19312 Berwyn","Good",19312,-75.45,40.03,0.428719236,0.074474073,0.063954338,0.432852353,0.25,0.14,0.16,0.93,0.03,2.62,0.55,0.08,94085,50492,0.231564486251988,2.50572653725122,0.494919677067236,2
"1779",655607,26115,"Monroe County","Michigan",2,3,"48162 Monroe","Bad",48162,-83.43,41.96,0.631417234,0.047649214,0.19287182,0.128061733,0.26,0.13,0.14,0.95,0.02,2.53,0.16,0.18,47317,22146,0.0815581298640381,-0.388465702151393,1.0437480999936,3
"1780",655638,18097,"Marion County","Indiana",2,3,"46237 Indianapolis","Bad",46237,-86.08,39.67,0.705169645,0.033263224,0.111050336,0.150516795,0.28,0.16,0.07,0.96,0.01,2.62,0.22,0.1,54171,23909,0.673030777569536,-0.129794011994847,1.19361969268936,3
"1781",655724,45007,"Anderson County","South Carolina",3,5,"29627 Belton","Bad",29627,-82.48,34.52,0.661752775,0.011511374,0.26837168,0.058364171,0.24,0.14,0.14,0.83,0.15,2.51,0.12,0.28,34200,17362,-0.241383277910782,-0.976762509384875,0.397922048707552,3
"1782",655950,53033,"King County","Washington",4,9,"98125 Seattle","Good",98125,-122.3,47.72,0.403975413,0.251531377,0.043806045,0.300687165,0.17,0.1,0.15,0.71,0.05,2.17,0.43,0.21,42400,25771,-1.62829112708269,0.129049645648618,-0.757130512175275,4
"1783",656082,42095,"Northampton County","Pennsylvania",1,2,"18088 Walnutport","Good",18088,-75.56,40.77,0.550770615,0.01928646,0.109335543,0.320607383,0.21,0.11,0.16,0.99,0,2.52,0.09,0.19,42026,20340,-0.815375286960123,-0.501804029705843,1.06715554076837,3
"1784",656089,4013,"Maricopa County","Arizona",4,8,"85308 Glendale","Bad",85308,-112.18,33.66,0.523039861,0.070025272,0.118630042,0.288304825,0.28,0.16,0.06,0.89,0.02,2.82,0.27,0.08,63644,26079,0.77824232345598,0.481122815534069,0.738008665651115,2
"1785",656422,24005,"Baltimore County","Maryland",3,5,"21234 Parkville","Good",21234,-76.54,39.39,0.511868353,0.033177526,0.085585047,0.369369074,0.23,0.12,0.18,0.78,0.17,2.34,0.22,0.17,44554,22263,-0.51390395285284,-0.189135289717584,-0.0607347434766084,3
"1786",656426,6037,"Los Angeles County","California",4,9,"91355 Valencia","Bad",91355,-118.6,34.42,0.497590115,0.192792964,0.094978041,0.214638881,0.26,0.14,0.1,0.86,0.01,2.53,0.34,0.09,76024,34028,0.338437765760925,1.38699191013195,0.327558882206117,2
"1787",656442,22103,"St. Tammany Parish","Louisiana",3,7,"70433 Covington","Bad",70433,-90.13,30.46,0.639813359,0.107581387,0.068902716,0.183702538,0.27,0.15,0.12,0.86,0.12,2.61,0.29,0.19,47447,24810,0.345632571651302,-0.321166806450206,0.594946322811133,3
"1788",656444,53061,"Snohomish County","Washington",4,9,"98271 Marysville","Bad",98271,-122.24,48.1,0.603255539,0.05480577,0.149162099,0.192776592,0.3,0.16,0.08,0.83,0.01,2.9,0.13,0.12,54160,20151,1.04247205004264,-0.140548100630171,0.580214497267937,3
