Stock,Industry,SubIndustry,Date,Positiv,Negativ,Pstv,Ngtv,Strong,Weak,Active,Passive,Polarity PN,Polarity SW,Polarity AP
CVG,Information Technology,Data Processing & Outsourced Services,1/26/10,0.125,0.058,0.119,0.055,0.24,0.034,0.195,0.085,0.365,0.751,0.393
CVG,Information Technology,Data Processing & Outsourced Services,2/10/10,0.174,0.058,0.167,0.057,0.232,0.024,0.18,0.071,0.5,0.814,0.432
CVG,Information Technology,Data Processing & Outsourced Services,3/4/10,0.181,0.046,0.171,0.044,0.211,0.034,0.164,0.078,0.598,0.722,0.353
CVH,Financials,#REF!,2/10/06,0.142,0.062,0.135,0.061,0.214,0.04,0.2,0.08,0.388,0.688,0.43
CVH,Financials,#REF!,4/28/06,0.143,0.071,0.135,0.069,0.208,0.045,0.208,0.069,0.337,0.646,0.505
CVH,Financials,#REF!,7/28/06,0.154,0.06,0.142,0.058,0.206,0.041,0.202,0.09,0.439,0.666,0.384
CVH,Financials,#REF!,10/27/06,0.123,0.053,0.114,0.052,0.196,0.038,0.19,0.089,0.398,0.674,0.363
CVH,Financials,#REF!,2/9/07,0.144,0.057,0.137,0.052,0.191,0.039,0.186,0.097,0.432,0.664,0.315
CVH,Financials,#REF!,4/27/07,0.137,0.061,0.125,0.057,0.183,0.039,0.183,0.082,0.38,0.651,0.383
CVH,Financials,#REF!,7/31/07,0.141,0.073,0.132,0.069,0.201,0.039,0.205,0.091,0.318,0.679,0.383
CVH,Financials,#REF!,10/26/07,0.133,0.061,0.126,0.058,0.209,0.044,0.19,0.09,0.374,0.655,0.359
CVH,Financials,#REF!,2/8/08,0.12,0.055,0.113,0.053,0.211,0.039,0.194,0.08,0.37,0.692,0.417
CVH,Financials,#REF!,4/25/08,0.135,0.065,0.131,0.061,0.205,0.038,0.207,0.095,0.348,0.685,0.372
CVH,Financials,#REF!,6/18/08,0.125,0.091,0.115,0.084,0.215,0.044,0.199,0.092,0.158,0.658,0.367
CVH,Financials,#REF!,7/25/08,0.117,0.063,0.113,0.059,0.206,0.041,0.198,0.081,0.3,0.67,0.419
CVH,Financials,#REF!,10/21/08,0.143,0.076,0.132,0.073,0.209,0.038,0.207,0.087,0.306,0.694,0.409
CVH,Financials,#REF!,2/10/09,0.161,0.08,0.153,0.078,0.229,0.039,0.207,0.076,0.336,0.71,0.465
CVH,Financials,#REF!,4/28/09,0.142,0.071,0.134,0.068,0.212,0.037,0.216,0.069,0.332,0.7,0.514
CVH,Financials,#REF!,6/5/09,0.157,0.039,0.148,0.036,0.225,0.022,0.17,0.084,0.598,0.821,0.336
CVH,Financials,#REF!,7/28/09,0.147,0.082,0.136,0.078,0.201,0.044,0.21,0.074,0.281,0.641,0.481
CVH,Financials,#REF!,10/30/09,0.147,0.076,0.139,0.072,0.207,0.042,0.186,0.083,0.314,0.666,0.386
CVH,Financials,#REF!,2/9/10,0.16,0.068,0.15,0.063,0.225,0.037,0.213,0.071,0.405,0.716,0.502
CVS,Consumer Staples,Drug Retail,1/23/06,0.17,0.057,0.159,0.055,0.208,0.035,0.176,0.077,0.497,0.71,0.392
CVS,Consumer Staples,Drug Retail,2/2/06,0.127,0.064,0.116,0.061,0.224,0.025,0.169,0.077,0.333,0.798,0.373
CVS,Consumer Staples,Drug Retail,2/15/06,0.147,0.054,0.135,0.053,0.236,0.035,0.201,0.094,0.464,0.742,0.363
CVS,Consumer Staples,Drug Retail,3/1/06,0.157,0.06,0.143,0.056,0.245,0.026,0.19,0.08,0.445,0.811,0.409
CVS,Consumer Staples,Drug Retail,5/2/06,0.129,0.073,0.124,0.07,0.2,0.033,0.186,0.078,0.278,0.716,0.407
CVS,Consumer Staples,Drug Retail,5/4/06,0.132,0.056,0.121,0.055,0.23,0.024,0.18,0.076,0.403,0.812,0.406
CVS,Consumer Staples,Drug Retail,5/17/06,0.14,0.059,0.122,0.055,0.228,0.023,0.171,0.078,0.407,0.815,0.375
CVS,Consumer Staples,Drug Retail,8/3/06,0.141,0.057,0.132,0.055,0.213,0.025,0.181,0.082,0.427,0.792,0.374
CVS,Consumer Staples,Drug Retail,8/8/06,0.129,0.044,0.12,0.043,0.21,0.025,0.186,0.076,0.493,0.786,0.417
CVS,Consumer Staples,Drug Retail,8/16/06,0.137,0.068,0.122,0.066,0.223,0.036,0.187,0.089,0.34,0.723,0.357
CVS,Consumer Staples,Drug Retail,10/10/06,0.124,0.076,0.121,0.07,0.219,0.042,0.189,0.088,0.244,0.68,0.365
CVS,Consumer Staples,Drug Retail,11/1/06,0.168,0.061,0.157,0.059,0.244,0.04,0.191,0.116,0.466,0.72,0.243
CVS,Consumer Staples,Drug Retail,11/2/06,0.131,0.04,0.125,0.039,0.195,0.017,0.159,0.08,0.532,0.84,0.33
CVS,Consumer Staples,Drug Retail,11/15/06,0.132,0.067,0.11,0.062,0.242,0.021,0.182,0.065,0.326,0.842,0.471
CVS,Consumer Staples,Drug Retail,12/18/06,0.194,0.062,0.177,0.061,0.228,0.033,0.182,0.101,0.514,0.745,0.288
CVS,Consumer Staples,Drug Retail,2/1/07,0.138,0.068,0.131,0.064,0.211,0.028,0.18,0.087,0.342,0.766,0.348
CVS,Consumer Staples,Drug Retail,2/28/07,0.127,0.065,0.112,0.062,0.241,0.031,0.191,0.074,0.325,0.772,0.443
CVS,Consumer Staples,Drug Retail,5/8/07,0.145,0.062,0.138,0.059,0.215,0.03,0.181,0.089,0.403,0.754,0.343
CVS,Consumer Staples,Drug Retail,5/16/07,0.138,0.06,0.125,0.055,0.242,0.03,0.193,0.08,0.391,0.78,0.416
CVS,Consumer Staples,Drug Retail,8/2/07,0.12,0.072,0.112,0.067,0.214,0.031,0.175,0.089,0.247,0.751,0.325
CVS,Consumer Staples,Drug Retail,8/15/07,0.137,0.047,0.125,0.046,0.24,0.023,0.18,0.068,0.49,0.825,0.451
CVS,Consumer Staples,Drug Retail,11/1/07,0.151,0.084,0.142,0.079,0.232,0.037,0.182,0.082,0.287,0.723,0.381
CVS,Consumer Staples,Drug Retail,11/14/07,0.13,0.051,0.119,0.048,0.227,0.024,0.174,0.079,0.441,0.807,0.377
CVS,Consumer Staples,Drug Retail,1/31/08,0.134,0.068,0.128,0.065,0.218,0.034,0.175,0.089,0.327,0.728,0.327
CVS,Consumer Staples,Drug Retail,3/5/08,0.112,0.057,0.099,0.054,0.224,0.023,0.164,0.075,0.325,0.812,0.371
CVS,Consumer Staples,Drug Retail,5/1/08,0.137,0.067,0.129,0.062,0.214,0.032,0.163,0.088,0.344,0.741,0.299
CVS,Consumer Staples,Drug Retail,5/21/08,0.149,0.065,0.133,0.059,0.242,0.026,0.19,0.078,0.392,0.806,0.42
CVS,Consumer Staples,Drug Retail,7/31/08,0.14,0.061,0.131,0.056,0.218,0.032,0.171,0.091,0.391,0.742,0.304
CVS,Consumer Staples,Drug Retail,8/12/08,0.161,0.056,0.151,0.055,0.206,0.037,0.184,0.092,0.484,0.696,0.334
CVS,Consumer Staples,Drug Retail,10/30/08,0.133,0.071,0.124,0.067,0.201,0.042,0.185,0.085,0.303,0.657,0.369
CVS,Consumer Staples,Drug Retail,1/9/09,0.131,0.057,0.124,0.054,0.21,0.034,0.181,0.105,0.394,0.724,0.266
CVS,Consumer Staples,Drug Retail,2/19/09,0.138,0.059,0.13,0.056,0.195,0.032,0.164,0.084,0.404,0.717,0.322
CVS,Consumer Staples,Drug Retail,5/5/09,0.123,0.066,0.119,0.064,0.209,0.037,0.171,0.089,0.3,0.698,0.316
CVS,Consumer Staples,Drug Retail,8/4/09,0.125,0.066,0.114,0.064,0.215,0.028,0.182,0.095,0.305,0.768,0.314
CVS,Consumer Staples,Drug Retail,11/5/09,0.132,0.073,0.124,0.072,0.212,0.044,0.163,0.095,0.286,0.657,0.263
CVS,Consumer Staples,Drug Retail,2/8/10,0.141,0.057,0.13,0.054,0.218,0.031,0.179,0.085,0.425,0.753,0.356
CVX,Energy,Integrated Oil & Gas,1/27/06,0.107,0.058,0.098,0.053,0.19,0.029,0.151,0.07,0.302,0.733,0.369
CVX,Energy,Integrated Oil & Gas,4/28/06,0.121,0.058,0.114,0.053,0.186,0.033,0.155,0.069,0.353,0.699,0.382
CVX,Energy,Integrated Oil & Gas,7/28/06,0.113,0.066,0.102,0.057,0.182,0.029,0.159,0.072,0.259,0.727,0.377
CVX,Energy,Integrated Oil & Gas,10/27/06,0.114,0.063,0.106,0.055,0.186,0.032,0.154,0.059,0.286,0.705,0.447
CVX,Energy,Integrated Oil & Gas,2/2/07,0.111,0.052,0.1,0.048,0.185,0.032,0.153,0.067,0.36,0.702,0.388
CVX,Energy,Integrated Oil & Gas,4/27/07,0.12,0.07,0.108,0.064,0.19,0.045,0.168,0.074,0.264,0.619,0.388
CVX,Energy,Integrated Oil & Gas,7/27/07,0.124,0.056,0.114,0.046,0.201,0.024,0.156,0.07,0.376,0.791,0.381
CVX,Energy,Integrated Oil & Gas,11/2/07,0.113,0.08,0.097,0.065,0.216,0.035,0.182,0.087,0.173,0.721,0.352
CVX,Energy,Integrated Oil & Gas,2/1/08,0.117,0.064,0.106,0.051,0.206,0.036,0.152,0.082,0.29,0.704,0.3
CVX,Energy,Integrated Oil & Gas,5/2/08,0.09,0.072,0.083,0.053,0.18,0.027,0.134,0.066,0.113,0.738,0.342
CVX,Energy,Integrated Oil & Gas,8/1/08,0.11,0.081,0.101,0.064,0.19,0.03,0.166,0.082,0.152,0.727,0.339
CVX,Energy,Integrated Oil & Gas,10/31/08,0.122,0.079,0.117,0.069,0.225,0.037,0.186,0.09,0.217,0.718,0.35
CVX,Energy,Integrated Oil & Gas,1/30/09,0.132,0.075,0.124,0.068,0.216,0.037,0.172,0.082,0.274,0.71,0.355
CVX,Energy,Integrated Oil & Gas,5/1/09,0.121,0.088,0.112,0.077,0.209,0.041,0.168,0.077,0.161,0.674,0.373
CVX,Energy,Integrated Oil & Gas,7/31/09,0.117,0.083,0.107,0.077,0.225,0.038,0.177,0.091,0.172,0.713,0.319
CVX,Energy,Integrated Oil & Gas,10/30/09,0.14,0.067,0.131,0.061,0.222,0.025,0.164,0.088,0.356,0.796,0.303
CVX,Energy,Integrated Oil & Gas,1/29/10,0.128,0.068,0.117,0.06,0.229,0.033,0.179,0.092,0.308,0.747,0.323
D,Utilities,Multi-Utilities & Unregulated Power,1/26/06,0.116,0.045,0.101,0.044,0.198,0.029,0.15,0.069,0.439,0.742,0.369
D,Utilities,Multi-Utilities & Unregulated Power,5/3/06,0.134,0.053,0.12,0.049,0.212,0.027,0.181,0.083,0.434,0.776,0.371
D,Utilities,Multi-Utilities & Unregulated Power,8/3/06,0.136,0.054,0.114,0.052,0.211,0.029,0.174,0.078,0.429,0.763,0.382
D,Utilities,Multi-Utilities & Unregulated Power,11/1/06,0.157,0.05,0.135,0.046,0.215,0.035,0.175,0.081,0.517,0.719,0.367
D,Utilities,Multi-Utilities & Unregulated Power,1/31/07,0.131,0.043,0.121,0.041,0.197,0.025,0.176,0.071,0.506,0.776,0.428
D,Utilities,Multi-Utilities & Unregulated Power,5/2/07,0.145,0.049,0.125,0.046,0.231,0.019,0.182,0.069,0.496,0.849,0.449
D,Utilities,Multi-Utilities & Unregulated Power,6/4/07,0.173,0.055,0.142,0.053,0.247,0.048,0.172,0.082,0.519,0.675,0.352
D,Utilities,Multi-Utilities & Unregulated Power,8/1/07,0.139,0.043,0.121,0.042,0.225,0.028,0.178,0.084,0.531,0.78,0.361
D,Utilities,Multi-Utilities & Unregulated Power,11/1/07,0.149,0.049,0.135,0.046,0.235,0.026,0.201,0.095,0.505,0.803,0.356
D,Utilities,Multi-Utilities & Unregulated Power,1/30/08,0.127,0.044,0.116,0.041,0.229,0.025,0.175,0.075,0.481,0.807,0.398
D,Utilities,Multi-Utilities & Unregulated Power,5/1/08,0.15,0.046,0.136,0.043,0.23,0.021,0.18,0.076,0.532,0.831,0.406
D,Utilities,Multi-Utilities & Unregulated Power,7/31/08,0.12,0.05,0.11,0.044,0.228,0.025,0.2,0.088,0.415,0.805,0.389
D,Utilities,Multi-Utilities & Unregulated Power,10/30/08,0.136,0.057,0.126,0.053,0.224,0.024,0.189,0.084,0.407,0.804,0.382
D,Utilities,Multi-Utilities & Unregulated Power,1/29/09,0.134,0.053,0.123,0.05,0.236,0.025,0.19,0.092,0.432,0.81,0.349
D,Utilities,Multi-Utilities & Unregulated Power,4/30/09,0.133,0.05,0.118,0.047,0.224,0.031,0.172,0.089,0.452,0.759,0.318
D,Utilities,Multi-Utilities & Unregulated Power,7/31/09,0.133,0.063,0.118,0.06,0.228,0.035,0.18,0.089,0.355,0.734,0.339
D,Utilities,Multi-Utilities & Unregulated Power,10/30/09,0.136,0.047,0.123,0.045,0.216,0.019,0.188,0.091,0.484,0.841,0.349
D,Utilities,Multi-Utilities & Unregulated Power,1/28/10,0.126,0.035,0.116,0.035,0.232,0.026,0.168,0.081,0.562,0.799,0.348
DD,Materials,Diversified Chemicals,1/11/06,0.152,0.082,0.143,0.081,0.235,0.027,0.18,0.091,0.298,0.794,0.331
DD,Materials,Diversified Chemicals,1/24/06,0.121,0.069,0.114,0.067,0.222,0.019,0.186,0.081,0.274,0.84,0.393
DD,Materials,Diversified Chemicals,3/15/06,0.146,0.066,0.135,0.063,0.23,0.033,0.194,0.073,0.377,0.748,0.453
DD,Materials,Diversified Chemicals,4/10/06,0.177,0.048,0.151,0.043,0.204,0.028,0.206,0.07,0.572,0.757,0.49
DD,Materials,Diversified Chemicals,4/25/06,0.12,0.062,0.108,0.058,0.223,0.029,0.172,0.071,0.32,0.769,0.414
DD,Materials,Diversified Chemicals,6/20/06,0.139,0.041,0.135,0.04,0.187,0.016,0.164,0.066,0.547,0.84,0.426
DD,Materials,Diversified Chemicals,7/25/06,0.143,0.072,0.132,0.068,0.231,0.028,0.186,0.079,0.332,0.783,0.405
DD,Materials,Diversified Chemicals,10/24/06,0.133,0.076,0.123,0.07,0.235,0.035,0.196,0.077,0.274,0.739,0.434
DD,Materials,Diversified Chemicals,11/9/06,0.131,0.058,0.126,0.051,0.211,0.043,0.197,0.073,0.384,0.66,0.462
DD,Materials,Diversified Chemicals,1/23/07,0.132,0.065,0.122,0.061,0.231,0.03,0.195,0.089,0.344,0.773,0.372
DD,Materials,Diversified Chemicals,4/24/07,0.122,0.056,0.11,0.054,0.197,0.029,0.163,0.085,0.371,0.742,0.313
DD,Materials,Diversified Chemicals,7/24/07,0.137,0.062,0.125,0.056,0.223,0.033,0.18,0.082,0.38,0.741,0.373
DD,Materials,Diversified Chemicals,10/23/07,0.141,0.057,0.125,0.052,0.215,0.031,0.174,0.086,0.425,0.748,0.337
DD,Materials,Diversified Chemicals,1/22/08,0.128,0.061,0.114,0.057,0.24,0.027,0.19,0.081,0.357,0.796,0.402
DD,Materials,Diversified Chemicals,4/22/08,0.117,0.051,0.108,0.048,0.205,0.031,0.176,0.083,0.393,0.739,0.356
DD,Materials,Diversified Chemicals,7/22/08,0.132,0.051,0.122,0.046,0.218,0.029,0.186,0.082,0.443,0.766,0.387
DD,Materials,Diversified Chemicals,9/23/08,0.184,0.053,0.18,0.052,0.257,0.017,0.183,0.076,0.552,0.873,0.413
DD,Materials,Diversified Chemicals,10/21/08,0.13,0.069,0.119,0.063,0.215,0.032,0.176,0.081,0.311,0.744,0.372
DD,Materials,Diversified Chemicals,12/4/08,0.13,0.078,0.12,0.075,0.236,0.039,0.193,0.074,0.25,0.718,0.449
DD,Materials,Diversified Chemicals,1/27/09,0.129,0.081,0.114,0.077,0.219,0.039,0.182,0.074,0.231,0.696,0.419
DD,Materials,Diversified Chemicals,4/21/09,0.126,0.066,0.111,0.061,0.204,0.033,0.183,0.076,0.308,0.722,0.414
DD,Materials,Diversified Chemicals,5/6/09,0.152,0.052,0.148,0.043,0.218,0.026,0.206,0.072,0.491,0.79,0.482
DD,Materials,Diversified Chemicals,6/12/09,0.159,0.051,0.15,0.047,0.212,0.036,0.216,0.089,0.516,0.707,0.416
DD,Materials,Diversified Chemicals,7/21/09,0.133,0.075,0.12,0.07,0.205,0.039,0.179,0.074,0.283,0.684,0.418
DD,Materials,Diversified Chemicals,9/2/09,0.145,0.07,0.134,0.067,0.218,0.019,0.163,0.061,0.346,0.843,0.459
DD,Materials,Diversified Chemicals,10/20/09,0.132,0.079,0.121,0.075,0.204,0.036,0.175,0.077,0.255,0.698,0.39
DD,Materials,Diversified Chemicals,12/4/09,0.152,0.041,0.142,0.039,0.171,0.027,0.189,0.073,0.576,0.724,0.443
DD,Materials,Diversified Chemicals,1/26/10,0.142,0.062,0.13,0.058,0.233,0.031,0.194,0.076,0.394,0.764,0.438
DD,Materials,Diversified Chemicals,2/24/10,0.147,0.053,0.133,0.052,0.228,0.025,0.19,0.075,0.472,0.805,0.432
DE,Industrials,Construction & Farm Machinery & Heavy Trucks,2/14/06,0.147,0.066,0.139,0.065,0.239,0.04,0.187,0.073,0.379,0.715,0.437
DE,Industrials,Construction & Farm Machinery & Heavy Trucks,3/3/06,0.141,0.082,0.133,0.08,0.241,0.03,0.172,0.07,0.265,0.78,0.422
DE,Industrials,Construction & Farm Machinery & Heavy Trucks,4/28/06,0.134,0.084,0.124,0.082,0.216,0.032,0.185,0.072,0.227,0.74,0.441
DE,Industrials,Construction & Farm Machinery & Heavy Trucks,5/16/06,0.118,0.057,0.112,0.054,0.19,0.03,0.156,0.073,0.349,0.725,0.365
DE,Industrials,Construction & Farm Machinery & Heavy Trucks,7/7/06,0.149,0.079,0.14,0.078,0.221,0.043,0.194,0.093,0.308,0.675,0.35
DE,Industrials,Construction & Farm Machinery & Heavy Trucks,7/28/06,0.151,0.08,0.144,0.076,0.233,0.032,0.201,0.07,0.309,0.755,0.484
DE,Industrials,Construction & Farm Machinery & Heavy Trucks,8/15/06,0.114,0.059,0.105,0.055,0.212,0.031,0.162,0.072,0.319,0.747,0.383
DE,Industrials,Construction & Farm Machinery & Heavy Trucks,10/27/06,0.136,0.078,0.13,0.075,0.2,0.028,0.18,0.082,0.272,0.755,0.377
DE,Industrials,Construction & Farm Machinery & Heavy Trucks,11/21/06,0.137,0.062,0.126,0.06,0.216,0.039,0.162,0.066,0.375,0.693,0.42
DE,Industrials,Construction & Farm Machinery & Heavy Trucks,2/14/07,0.114,0.048,0.109,0.045,0.199,0.028,0.17,0.072,0.409,0.755,0.405
DE,Industrials,Construction & Farm Machinery & Heavy Trucks,5/16/07,0.129,0.054,0.121,0.053,0.213,0.038,0.172,0.066,0.408,0.694,0.444
DE,Industrials,Construction & Farm Machinery & Heavy Trucks,8/15/07,0.12,0.052,0.114,0.051,0.207,0.033,0.17,0.066,0.39,0.724,0.443
DE,Industrials,Construction & Farm Machinery & Heavy Trucks,11/21/07,0.134,0.053,0.126,0.052,0.223,0.035,0.178,0.072,0.436,0.73,0.423
DE,Industrials,Construction & Farm Machinery & Heavy Trucks,2/13/08,0.136,0.052,0.129,0.05,0.221,0.027,0.171,0.07,0.449,0.786,0.422
DE,Industrials,Construction & Farm Machinery & Heavy Trucks,5/14/08,0.137,0.059,0.131,0.057,0.233,0.026,0.186,0.068,0.398,0.798,0.464
DE,Industrials,Construction & Farm Machinery & Heavy Trucks,8/13/08,0.143,0.061,0.135,0.059,0.248,0.035,0.195,0.075,0.405,0.754,0.444
DE,Industrials,Construction & Farm Machinery & Heavy Trucks,11/26/08,0.135,0.079,0.128,0.072,0.212,0.042,0.181,0.075,0.259,0.668,0.411
DE,Industrials,Construction & Farm Machinery & Heavy Trucks,2/18/09,0.148,0.076,0.141,0.069,0.224,0.034,0.18,0.071,0.322,0.739,0.433
DE,Industrials,Construction & Farm Machinery & Heavy Trucks,5/20/09,0.137,0.069,0.128,0.062,0.218,0.037,0.173,0.067,0.329,0.711,0.442
DE,Industrials,Construction & Farm Machinery & Heavy Trucks,8/19/09,0.138,0.06,0.131,0.059,0.223,0.032,0.179,0.065,0.393,0.748,0.467
DE,Industrials,Construction & Farm Machinery & Heavy Trucks,11/25/09,0.134,0.074,0.122,0.072,0.221,0.045,0.183,0.067,0.29,0.661,0.465
DE,Industrials,Construction & Farm Machinery & Heavy Trucks,2/17/10,0.139,0.066,0.131,0.064,0.228,0.037,0.178,0.065,0.359,0.72,0.465
DELL,Information Technology,#REF!,1/9/06,0.15,0.055,0.147,0.05,0.229,0.034,0.185,0.085,0.464,0.745,0.371
DELL,Information Technology,#REF!,2/16/06,0.118,0.053,0.113,0.047,0.208,0.038,0.172,0.098,0.383,0.694,0.273
DELL,Information Technology,#REF!,4/10/06,0.182,0.052,0.172,0.052,0.212,0.042,0.186,0.065,0.553,0.673,0.483
DELL,Information Technology,#REF!,5/18/06,0.136,0.062,0.131,0.057,0.229,0.03,0.187,0.102,0.372,0.77,0.295
DELL,Information Technology,#REF!,6/5/06,0.16,0.04,0.141,0.036,0.224,0.026,0.19,0.082,0.602,0.796,0.395
DELL,Information Technology,#REF!,8/17/06,0.123,0.072,0.116,0.068,0.204,0.031,0.185,0.084,0.265,0.74,0.377
DELL,Information Technology,#REF!,9/20/06,0.173,0.074,0.17,0.068,0.241,0.018,0.184,0.065,0.398,0.859,0.48
DELL,Information Technology,#REF!,10/16/06,0.133,0.053,0.127,0.049,0.23,0.024,0.171,0.079,0.431,0.814,0.371
DELL,Information Technology,#REF!,8/16/07,0.14,0.052,0.135,0.048,0.224,0.037,0.186,0.089,0.455,0.717,0.35
DELL,Information Technology,#REF!,11/29/07,0.151,0.056,0.143,0.052,0.247,0.026,0.182,0.091,0.459,0.812,0.333
DELL,Information Technology,#REF!,2/28/08,0.131,0.07,0.125,0.067,0.221,0.025,0.177,0.081,0.306,0.799,0.369
DELL,Information Technology,#REF!,5/29/08,0.139,0.066,0.132,0.063,0.228,0.024,0.163,0.07,0.355,0.812,0.4
DELL,Information Technology,#REF!,8/28/08,0.128,0.058,0.121,0.056,0.213,0.027,0.183,0.086,0.374,0.775,0.362
DELL,Information Technology,#REF!,11/20/08,0.134,0.068,0.13,0.066,0.211,0.03,0.182,0.075,0.327,0.752,0.414
DELL,Information Technology,#REF!,2/26/09,0.141,0.073,0.134,0.071,0.216,0.03,0.191,0.077,0.32,0.753,0.426
DELL,Information Technology,#REF!,5/28/09,0.147,0.057,0.136,0.054,0.221,0.026,0.185,0.07,0.444,0.793,0.452
DELL,Information Technology,#REF!,8/27/09,0.142,0.061,0.133,0.059,0.209,0.033,0.202,0.076,0.403,0.729,0.454
DELL,Information Technology,#REF!,9/21/09,0.185,0.046,0.172,0.044,0.238,0.021,0.152,0.076,0.606,0.838,0.333
DELL,Information Technology,#REF!,11/19/09,0.124,0.06,0.117,0.058,0.196,0.032,0.191,0.073,0.348,0.723,0.445
DELL,Information Technology,#REF!,12/16/09,0.151,0.064,0.141,0.062,0.241,0.025,0.179,0.073,0.408,0.812,0.421
DELL,Information Technology,#REF!,2/18/10,0.113,0.054,0.106,0.05,0.203,0.031,0.167,0.075,0.355,0.733,0.381
DF,Consumer Staples,#REF!,2/8/06,0.126,0.062,0.119,0.058,0.208,0.027,0.16,0.086,0.342,0.773,0.304
DF,Consumer Staples,#REF!,5/3/06,0.124,0.075,0.114,0.07,0.208,0.033,0.184,0.08,0.248,0.725,0.394
DF,Consumer Staples,#REF!,8/2/06,0.145,0.053,0.137,0.049,0.215,0.026,0.179,0.078,0.465,0.782,0.391
DF,Consumer Staples,#REF!,11/7/06,0.14,0.063,0.134,0.063,0.216,0.022,0.18,0.094,0.377,0.818,0.312
DF,Consumer Staples,#REF!,2/7/07,0.121,0.049,0.112,0.047,0.216,0.021,0.181,0.081,0.426,0.824,0.382
DF,Consumer Staples,#REF!,3/2/07,0.18,0.074,0.17,0.07,0.233,0.025,0.185,0.096,0.417,0.805,0.315
DF,Consumer Staples,#REF!,5/3/07,0.12,0.069,0.111,0.064,0.208,0.033,0.186,0.082,0.275,0.73,0.389
DF,Consumer Staples,#REF!,8/7/07,0.124,0.076,0.117,0.072,0.205,0.036,0.19,0.081,0.237,0.701,0.402
DF,Consumer Staples,#REF!,11/8/07,0.104,0.07,0.098,0.067,0.195,0.031,0.178,0.077,0.2,0.724,0.396
DF,Consumer Staples,#REF!,2/13/08,0.129,0.075,0.121,0.07,0.223,0.029,0.182,0.069,0.265,0.77,0.451
DF,Consumer Staples,#REF!,4/30/08,0.118,0.071,0.109,0.061,0.204,0.035,0.179,0.071,0.251,0.711,0.433
DF,Consumer Staples,#REF!,8/6/08,0.13,0.076,0.125,0.068,0.215,0.028,0.187,0.076,0.264,0.768,0.423
DF,Consumer Staples,#REF!,11/4/08,0.136,0.076,0.129,0.067,0.209,0.031,0.18,0.078,0.282,0.739,0.394
DF,Consumer Staples,#REF!,2/11/09,0.136,0.075,0.13,0.064,0.214,0.031,0.165,0.069,0.291,0.745,0.413
DF,Consumer Staples,#REF!,5/1/09,0.148,0.06,0.141,0.057,0.209,0.033,0.166,0.074,0.424,0.726,0.383
DF,Consumer Staples,#REF!,6/15/09,0.177,0.042,0.167,0.039,0.198,0.024,0.164,0.075,0.614,0.785,0.374
DF,Consumer Staples,#REF!,8/5/09,0.127,0.073,0.122,0.066,0.222,0.032,0.183,0.07,0.273,0.749,0.446
DF,Consumer Staples,#REF!,11/2/09,0.141,0.069,0.131,0.065,0.218,0.038,0.181,0.069,0.346,0.702,0.446
DF,Consumer Staples,#REF!,2/10/10,0.112,0.075,0.107,0.067,0.191,0.033,0.155,0.068,0.197,0.709,0.391
DG,Consumer Discretionary,General Merchandise Stores,12/10/09,0.139,0.051,0.131,0.05,0.196,0.042,0.168,0.063,0.467,0.65,0.456
DGX,Health Care,Health Care Facilities,1/26/06,0.138,0.068,0.13,0.064,0.245,0.037,0.201,0.088,0.338,0.739,0.39
DGX,Health Care,Health Care Facilities,4/20/06,0.134,0.059,0.125,0.052,0.243,0.027,0.182,0.082,0.388,0.801,0.377
DGX,Health Care,Health Care Facilities,7/24/06,0.127,0.061,0.123,0.056,0.217,0.031,0.155,0.075,0.351,0.754,0.351
DGX,Health Care,Health Care Facilities,10/3/06,0.131,0.07,0.125,0.062,0.211,0.038,0.181,0.107,0.306,0.692,0.259
DGX,Health Care,Health Care Facilities,10/19/06,0.134,0.056,0.126,0.053,0.235,0.036,0.192,0.098,0.406,0.737,0.322
DGX,Health Care,Health Care Facilities,1/25/07,0.13,0.078,0.124,0.072,0.232,0.04,0.191,0.099,0.25,0.707,0.316
DGX,Health Care,Health Care Facilities,4/16/07,0.161,0.062,0.147,0.056,0.218,0.037,0.179,0.096,0.441,0.709,0.302
DGX,Health Care,Health Care Facilities,4/19/07,0.135,0.065,0.13,0.061,0.23,0.035,0.176,0.088,0.354,0.739,0.333
DGX,Health Care,Health Care Facilities,7/24/07,0.136,0.085,0.129,0.079,0.23,0.033,0.202,0.091,0.23,0.748,0.379
DGX,Health Care,Health Care Facilities,10/24/07,0.154,0.068,0.148,0.067,0.258,0.032,0.213,0.095,0.386,0.781,0.384
DGX,Health Care,Health Care Facilities,2/21/08,0.147,0.06,0.139,0.056,0.238,0.036,0.183,0.102,0.423,0.737,0.284
DGX,Health Care,Health Care Facilities,4/21/08,0.122,0.074,0.113,0.07,0.221,0.037,0.2,0.11,0.243,0.715,0.291
DGX,Health Care,Health Care Facilities,7/22/08,0.138,0.076,0.129,0.067,0.226,0.033,0.188,0.095,0.289,0.748,0.33
DGX,Health Care,Health Care Facilities,10/21/08,0.156,0.067,0.145,0.062,0.247,0.031,0.184,0.092,0.396,0.776,0.332
DGX,Health Care,Health Care Facilities,1/26/09,0.146,0.07,0.137,0.067,0.215,0.031,0.174,0.078,0.349,0.752,0.382
DGX,Health Care,Health Care Facilities,4/21/09,0.146,0.072,0.139,0.065,0.209,0.036,0.186,0.09,0.341,0.704,0.345
